date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PFBC')","('high', 'PFBC')","('low', 'PFBC')","('close', 'PFBC')","('adj_close', 'PFBC')","('volume', 'PFBC')","('currency', '')"
2020-01-02,60.38999938964844,60.38999938964844,59.34000015258789,60.11000061035156,49.817543029785156,80800,,,,,,,,
2020-01-03,59.43000030517578,59.81999969482422,58.880001068115234,59.709999084472656,49.48603439331055,69700,,,,,,,,
2020-01-06,58.83000183105469,59.52000045776367,58.15999984741211,59.310001373291016,49.402740478515625,79700,,,,,,,,
2020-01-07,58.439998626708984,58.7599983215332,58.040000915527344,58.689998626708984,48.88630676269531,92100,,,,,,,,
2020-01-08,58.689998626708984,59.27000045776367,58.47999954223633,58.58000183105469,48.794677734375,87700,,,,,,,,
2020-01-09,58.83000183105469,59.189998626708984,58.20000076293945,58.58000183105469,48.794677734375,63400,,,,,,,,
2020-01-10,58.5099983215332,58.869998931884766,58.18000030517578,58.81999969482422,48.99458694458008,77900,,,,,,,,
2020-01-13,58.939998626708984,59.11000061035156,58.58000183105469,59.02000045776367,49.16117858886719,134100,,,,,,,,
2020-01-14,59.040000915527344,59.4900016784668,58.81999969482422,59.380001068115234,49.46104431152344,185400,,,,,,,,
2020-01-15,59.2400016784668,59.2400016784668,58.4900016784668,58.84000015258789,49.011253356933594,204200,,,,,,,,
2020-01-16,59.16999816894531,60.40999984741211,59.099998474121094,60.349998474121094,50.26900863647461,203200,,,,,,,,
2020-01-17,60.5,60.959999084472656,60.310001373291016,60.79999923706055,50.64383316040039,105200,,,,,,,,
2020-01-21,60.59000015258789,60.59000015258789,59.869998931884766,59.90999984741211,49.902503967285156,102100,,,,,,,,
2020-01-22,59.90999984741211,60.54999923706055,59.61000061035156,60.09000015258789,50.052452087402344,103100,,,,,,,,
2020-01-23,61.0,64.5,61.0,63.97999954223633,53.29264831542969,274900,,,,,,,,
2020-01-24,64.3499984741211,64.37999725341797,62.9900016784668,63.099998474121094,52.55964660644531,178900,,,,,,,,
2020-01-27,62.970001220703125,62.970001220703125,61.20000076293945,61.2400016784668,51.01034927368164,216100,,,,,,,,
2020-01-28,61.63999938964844,61.63999938964844,60.349998474121094,61.189998626708984,50.968692779541016,90300,,,,,,,,
2020-01-29,61.189998626708984,61.650001525878906,60.13999938964844,60.209999084472656,50.15239334106445,105600,,,,,,,,
2020-01-30,59.689998626708984,60.369998931884766,59.33000183105469,60.310001373291016,50.23569107055664,61400,,,,,,,,
2020-01-31,59.91999816894531,60.560001373291016,59.599998474121094,60.11000061035156,50.0691032409668,138000,,,,,,,,
2020-02-03,60.400001525878906,61.459999084472656,60.0,61.20000076293945,50.977027893066406,141100,,,,,,,,
2020-02-04,61.97999954223633,62.779998779296875,60.33000183105469,60.4900016784668,50.3856201171875,125700,,,,,,,,
2020-02-05,61.099998474121094,62.5,60.939998626708984,62.2400016784668,51.843299865722656,146800,,,,,,,,
2020-02-06,62.459999084472656,62.459999084472656,61.689998626708984,62.11000061035156,51.735015869140625,64000,,,,,,,,
2020-02-07,61.709999084472656,61.709999084472656,60.97999954223633,61.29999923706055,51.06032943725586,50000,,,,,,,,
2020-02-10,61.209999084472656,62.369998931884766,61.209999084472656,62.33000183105469,51.91827392578125,70500,,,,,,,,
2020-02-11,62.5,63.25,62.5,62.81999969482422,52.32640838623047,60100,,,,,,,,
2020-02-12,62.90999984741211,63.16999816894531,62.4900016784668,62.75,52.268104553222656,76000,,,,,,,,
2020-02-13,63.0,63.2599983215332,62.70000076293945,63.130001068115234,52.584632873535156,99900,,,,,,,,
2020-02-14,63.16999816894531,63.40999984741211,62.20000076293945,62.27000045776367,51.868289947509766,66100,,,,,,,,
2020-02-18,61.95000076293945,62.470001220703125,61.099998474121094,61.81999969482422,51.49345779418945,47300,,,,,,,,
2020-02-19,62.15999984741211,62.15999984741211,61.33000183105469,61.4900016784668,51.21858215332031,62500,,,,,,,,
2020-02-20,61.27000045776367,62.20000076293945,61.220001220703125,61.369998931884766,51.11862564086914,78700,,,,,,,,
