date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FNGD')","('high', 'FNGD')","('low', 'FNGD')","('close', 'FNGD')","('adj_close', 'FNGD')","('volume', 'FNGD')","('currency', '')"
2020-01-02,21300.0,21300.0,20120.0,20120.0,20120.0,175,,,,,,,,
2020-01-03,21000.0,21000.0,20240.0,20720.0,20720.0,101,,,,,,,,
2020-01-06,21300.0,21300.0,19822.0,19840.0,19840.0,76,,,,,,,,
2020-01-07,19640.0,19860.0,19160.0,19320.0,19320.0,150,,,,,,,,
2020-01-08,19500.0,19520.0,18260.0,18640.0,18640.0,144,,,,,,,,
2020-01-09,17980.0,18600.0,17860.0,18260.0,18260.0,127,,,,,,,,
2020-01-10,18020.0,18422.0,17880.0,18280.0,18280.0,101,,,,,,,,
2020-01-13,17620.0,17840.0,17000.0,17000.0,17000.0,204,,,,,,,,
2020-01-14,16880.0,17520.0,16754.0,17300.0,17300.0,228,,,,,,,,
2020-01-15,17420.0,17720.0,17068.0,17560.0,17560.0,180,,,,,,,,
2020-01-16,17440.0,17740.0,17260.0,17280.0,17280.0,124,,,,,,,,
2020-01-17,17160.0,17406.0,17010.0,17040.0,17040.0,177,,,,,,,,
2020-01-21,17040.0,17258.0,16840.0,16840.0,16840.0,194,,,,,,,,
2020-01-22,16460.0,16978.0,16280.0,16800.0,16800.0,226,,,,,,,,
2020-01-23,17060.0,17274.0,16462.0,16530.0,16530.0,145,,,,,,,,
2020-01-24,16440.0,17520.0,16340.0,17180.0,17180.0,386,,,,,,,,
2020-01-27,19000.0,19140.0,18080.0,18440.0,18440.0,388,,,,,,,,
2020-01-28,17720.0,18080.0,17228.0,17360.0,17360.0,295,,,,,,,,
2020-01-29,16960.0,17440.0,16740.0,17000.0,17000.0,344,,,,,,,,
2020-01-30,17360.0,17480.0,16710.0,16720.0,16720.0,299,,,,,,,,
2020-01-31,16420.0,17400.0,16420.0,17020.0,17020.0,283,,,,,,,,
2020-02-03,16680.0,16680.0,14680.0,14740.0,14740.0,538,,,,,,,,
2020-02-04,13200.0,13780.0,12140.0,12960.0,12960.0,867,,,,,,,,
2020-02-05,12940.0,14520.0,12940.0,14170.0,14170.0,670,,,,,,,,
2020-02-06,13920.0,14080.0,12720.0,13140.0,13140.0,433,,,,,,,,
2020-02-07,13600.0,13690.0,13280.0,13500.0,13500.0,364,,,,,,,,
2020-02-10,13300.0,13360.0,12872.0,13010.0,13010.0,199,,,,,,,,
2020-02-11,12720.0,13030.0,12422.0,12900.0,12900.0,264,,,,,,,,
2020-02-12,12560.0,12560.0,12240.0,12300.0,12300.0,239,,,,,,,,
2020-02-13,12800.0,12840.0,11900.0,12150.0,12150.0,367,,,,,,,,
2020-02-14,12080.0,12100.0,11720.0,12000.0,12000.0,274,,,,,,,,
2020-02-18,11940.0,11940.0,11240.0,11250.0,11250.0,472,,,,,,,,
2020-02-19,10740.0,10830.0,10340.0,10460.0,10460.0,383,,,,,,,,
2020-02-20,10580.0,11480.0,10500.0,10820.0,10820.0,876,,,,,,,,
2020-02-21,11020.0,11700.0,10940.0,11480.0,11480.0,712,,,,,,,,
2020-02-24,13200.0,13620.0,12760.0,13220.0,13220.0,1247,,,,,,,,
2020-02-25,12820.0,14460.0,12600.0,14320.0,14320.0,1988,,,,,,,,
2020-02-26,14200.0,14410.0,13200.0,14080.0,14080.0,1325,,,,,,,,
2020-02-27,15500.0,16540.0,14700.0,16500.0,16500.0,2064,,,,,,,,
2020-02-28,18620.0,18648.0,15920.0,16000.0,16000.0,1389,,,,,,,,
2020-03-02,14580.0,15920.0,13748.0,13748.0,13748.0,922,,,,,,,,
2020-03-03,12800.0,15300.0,12780.0,14560.0,14560.0,1495,,,,,,,,
2020-03-04,13860.0,14480.0,13280.0,13280.0,13280.0,1312,,,,,,,,
2020-03-05,14220.0,14740.0,13500.0,14420.0,14420.0,1592,,,,,,,,
2020-03-06,15800.0,16520.0,15300.0,15614.0,15614.0,1371,,,,,,,,
2020-03-09,17180.0,20000.0,17100.0,18840.0,18840.0,974,,,,,,,,
2020-03-10,16320.0,18400.0,15720.0,16320.0,16320.0,646,,,,,,,,
2020-03-11,16300.0,18420.0,16300.0,17500.0,17500.0,699,,,,,,,,
2020-03-12,21220.0,23100.0,19940.0,22920.0,22920.0,741,,,,,,,,
2020-03-13,18820.0,24000.0,18600.0,18920.0,18920.0,451,,,,,,,,
2020-03-16,24920.0,26200.0,21826.0,26200.0,26200.0,478,,,,,,,,
2020-03-17,24340.0,28300.0,20660.0,23100.0,23100.0,389,,,,,,,,
2020-03-18,27000.0,29320.0,24200.0,27000.0,27000.0,466,,,,,,,,
2020-03-19,27000.0,27200.0,19420.0,22400.0,22400.0,377,,,,,,,,
2020-03-20,19320.0,23630.0,19100.0,23540.0,23540.0,471,,,,,,,,
2020-03-23,23580.0,25100.0,21592.0,22020.0,22020.0,310,,,,,,,,
2020-03-24,18360.0,19340.0,17000.0,17100.0,17100.0,407,,,,,,,,
2020-03-25,16800.0,18140.0,15420.0,17520.0,17520.0,525,,,,,,,,
2020-03-26,17020.0,17040.0,15706.0,16260.0,16260.0,454,,,,,,,,
2020-03-27,16920.0,17410.0,16040.0,16600.0,16600.0,390,,,,,,,,
2020-03-30,16760.0,17300.0,15744.0,15840.0,15840.0,449,,,,,,,,
2020-03-31,15800.0,16036.0,14320.0,15628.0,15628.0,678,,,,,,,,
2020-04-01,16760.0,18140.0,16200.0,17700.0,17700.0,544,,,,,,,,
2020-04-02,17980.0,18600.0,16820.0,17540.0,17540.0,340,,,,,,,,
2020-04-03,16620.0,18740.0,16540.0,18000.0,18000.0,267,,,,,,,,
2020-04-06,16000.0,16400.0,14300.0,14340.0,14340.0,359,,,,,,,,
2020-04-07,13200.0,14210.0,12800.0,14080.0,14080.0,726,,,,,,,,
2020-04-08,13660.0,14220.0,13380.0,13480.0,13480.0,341,,,,,,,,
2020-04-09,12920.0,13680.0,12640.0,13120.0,13120.0,562,,,,,,,,
2020-04-13,13080.0,13240.0,11630.0,11720.0,11720.0,760,,,,,,,,
2020-04-14,10760.0,10918.0,9570.0,10020.0,10020.0,937,,,,,,,,
2020-04-15,10300.0,10380.0,9600.0,9810.0,9810.0,482,,,,,,,,
2020-04-16,9580.0,9820.0,9000.0,9274.0,9274.0,749,,,,,,,,
