date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FDS')","('high', 'FDS')","('low', 'FDS')","('close', 'FDS')","('adj_close', 'FDS')","('volume', 'FDS')","('currency', '')"
2020-01-02,268.6600036621094,270.17999267578125,266.6000061035156,268.7300109863281,253.8427276611328,314500,,,,,,,,
2020-01-03,265.9200134277344,269.3800048828125,264.8699951171875,268.6700134277344,253.7860870361328,237400,,,,,,,,
2020-01-06,266.8599853515625,267.29998779296875,263.75,267.1600036621094,252.35968017578125,349900,,,,,,,,
2020-01-07,267.0,270.3500061035156,266.19000244140625,267.0299987792969,252.23680114746094,235200,,,,,,,,
2020-01-08,267.1400146484375,270.3800048828125,267.04998779296875,269.0899963378906,254.1827850341797,288600,,,,,,,,
2020-01-09,270.67999267578125,272.4800109863281,268.4200134277344,268.7900085449219,253.89947509765625,434400,,,,,,,,
2020-01-10,269.1099853515625,269.1099853515625,264.6099853515625,264.8800048828125,250.2060089111328,376900,,,,,,,,
2020-01-13,264.9200134277344,268.7200012207031,264.9200134277344,266.989990234375,252.19903564453125,364300,,,,,,,,
2020-01-14,266.489990234375,270.0,266.489990234375,268.17999267578125,253.32305908203125,298500,,,,,,,,
2020-01-15,268.0799865722656,272.25,268.0799865722656,271.510009765625,256.46868896484375,270800,,,,,,,,
2020-01-16,273.239990234375,276.5899963378906,272.94000244140625,276.3900146484375,261.078369140625,259500,,,,,,,,
2020-01-17,277.05999755859375,278.0400085449219,274.8599853515625,275.7200012207031,260.44549560546875,241200,,,,,,,,
2020-01-21,274.20001220703125,280.489990234375,274.20001220703125,276.79998779296875,261.4656066894531,342800,,,,,,,,
2020-01-22,278.29998779296875,281.92999267578125,278.29998779296875,279.239990234375,263.7703857421875,256100,,,,,,,,
2020-01-23,277.489990234375,280.6300048828125,276.8800048828125,280.1099853515625,264.5921630859375,227900,,,,,,,,
2020-01-24,281.1300048828125,281.6400146484375,275.4100036621094,276.55999755859375,261.23895263671875,200900,,,,,,,,
2020-01-27,272.3699951171875,276.54998779296875,271.489990234375,274.2699890136719,259.0758972167969,272400,,,,,,,,
2020-01-28,275.32000732421875,280.3299865722656,271.5400085449219,278.44000244140625,263.0147399902344,393000,,,,,,,,
2020-01-29,279.95001220703125,288.94000244140625,279.7099914550781,287.6000061035156,271.6673583984375,548400,,,,,,,,
2020-01-30,287.6099853515625,290.5799865722656,284.3999938964844,290.4700012207031,274.37835693359375,399100,,,,,,,,
2020-01-31,289.4700012207031,291.9599914550781,284.739990234375,286.1099853515625,270.2597961425781,971400,,,,,,,,
2020-02-03,286.8399963378906,290.5799865722656,286.75,289.9800109863281,273.91546630859375,284200,,,,,,,,
2020-02-04,292.5,297.0199890136719,292.5,295.07000732421875,278.7235107421875,271800,,,,,,,,
2020-02-05,297.6700134277344,299.2699890136719,288.07000732421875,290.1099853515625,274.038330078125,383000,,,,,,,,
2020-02-06,290.8599853515625,293.1000061035156,288.57000732421875,289.9200134277344,273.8588562011719,312900,,,,,,,,
2020-02-07,289.0799865722656,289.2799987792969,285.6099853515625,286.4100036621094,270.5433044433594,290900,,,,,,,,
2020-02-10,285.3999938964844,290.80999755859375,285.0,290.07000732421875,274.00042724609375,344200,,,,,,,,
2020-02-11,291.1300048828125,293.25,289.80999755859375,292.29998779296875,276.10693359375,245900,,,,,,,,
2020-02-12,293.3599853515625,295.5799865722656,290.82000732421875,293.260009765625,277.0138244628906,241400,,,,,,,,
2020-02-13,292.3599853515625,297.7900085449219,292.0,296.8299865722656,280.385986328125,289700,,,,,,,,
2020-02-14,297.3299865722656,300.57000732421875,296.8299865722656,299.5400085449219,282.9458923339844,190600,,,,,,,,
2020-02-18,299.07000732421875,303.989990234375,299.07000732421875,302.92999267578125,286.1481018066406,196300,,,,,,,,
2020-02-19,304.8800048828125,310.25,304.8800048828125,308.6600036621094,291.560546875,300700,,,,,,,,
2020-02-20,308.45001220703125,308.45001220703125,298.2900085449219,302.6499938964844,285.883544921875,274800,,,,,,,,
2020-02-21,301.260009765625,301.75,297.3399963378906,299.5899963378906,282.9931640625,349000,,,,,,,,
