date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LGN')","('high', 'LGN')","('low', 'LGN')","('close', 'LGN')","('adj_close', 'LGN')","('volume', 'LGN')","('currency', '')"
2025-09-12,27.0,31.40999984741211,26.959999084472656,30.5,30.5,9811600,,,,,,,,
2025-09-15,29.309999465942383,34.39799880981445,28.510000228881836,30.549999237060547,30.549999237060547,2441500,,,,,,,,
2025-09-16,30.479999542236328,32.380001068115234,30.299999237060547,31.079999923706055,31.079999923706055,1283800,,,,,,,,
2025-09-17,31.1299991607666,31.71500015258789,29.950000762939453,30.329999923706055,30.329999923706055,1111300,,,,,,,,
2025-09-18,30.020000457763672,31.030000686645508,28.309999465942383,29.719999313354492,29.719999313354492,3766200,,,,,,,,
2025-09-19,29.670000076293945,32.32699966430664,29.299999237060547,31.329999923706055,31.329999923706055,1011200,,,,,,,,
2025-09-22,31.15999984741211,32.810001373291016,30.760000228881836,32.7400016784668,32.7400016784668,443800,,,,,,,,
2025-09-23,33.0,33.599998474121094,32.0369987487793,33.400001525878906,33.400001525878906,391300,,,,,,,,
2025-09-24,33.400001525878906,34.29999923706055,33.09000015258789,33.880001068115234,33.880001068115234,530400,,,,,,,,
2025-09-25,33.2599983215332,33.41999816894531,31.170000076293945,32.08000183105469,32.08000183105469,662200,,,,,,,,
2025-09-26,32.029998779296875,32.5,30.399999618530273,31.670000076293945,31.670000076293945,513400,,,,,,,,
2025-09-29,30.81999969482422,31.979999542236328,30.540000915527344,31.1200008392334,31.1200008392334,1497100,,,,,,,,
2025-09-30,31.299999237060547,31.545000076293945,29.0,30.809999465942383,30.809999465942383,1765600,,,,,,,,
2025-10-01,30.809999465942383,32.15999984741211,30.10099983215332,31.65999984741211,31.65999984741211,1868400,,,,,,,,
2025-10-02,31.520000457763672,32.209999084472656,29.510000228881836,29.969999313354492,29.969999313354492,941800,,,,,,,,
2025-10-03,29.969999313354492,32.47999954223633,29.31999969482422,31.670000076293945,31.670000076293945,1161600,,,,,,,,
2025-10-06,31.299999237060547,31.920000076293945,29.940000534057617,30.56999969482422,30.56999969482422,606100,,,,,,,,
2025-10-07,31.309999465942383,32.130001068115234,29.450000762939453,32.0,32.0,1186700,,,,,,,,
2025-10-08,32.47999954223633,32.47999954223633,31.049999237060547,31.09000015258789,31.09000015258789,427300,,,,,,,,
2025-10-09,30.860000610351562,31.954999923706055,30.329999923706055,31.06999969482422,31.06999969482422,1183300,,,,,,,,
2025-10-10,31.079999923706055,31.729999542236328,30.649999618530273,31.25,31.25,568200,,,,,,,,
2025-10-13,31.200000762939453,32.47999954223633,30.690000534057617,32.029998779296875,32.029998779296875,486900,,,,,,,,
2025-10-14,32.0099983215332,32.16999816894531,30.75,31.610000610351562,31.610000610351562,485200,,,,,,,,
2025-10-15,31.6200008392334,33.7400016784668,31.329999923706055,33.5,33.5,779900,,,,,,,,
2025-10-16,33.43000030517578,33.900001525878906,32.15999984741211,33.63999938964844,33.63999938964844,404500,,,,,,,,
2025-10-17,33.900001525878906,34.56999969482422,33.1510009765625,33.81999969482422,33.81999969482422,498200,,,,,,,,
2025-10-20,34.33000183105469,36.55500030517578,33.50199890136719,35.619998931884766,35.619998931884766,506100,,,,,,,,
2025-10-21,35.709999084472656,35.88999938964844,33.77000045776367,35.130001068115234,35.130001068115234,703500,,,,,,,,
2025-10-22,35.22999954223633,35.459999084472656,32.33000183105469,32.869998931884766,32.869998931884766,549700,,,,,,,,
2025-10-23,32.279998779296875,33.26499938964844,31.260000228881836,32.599998474121094,32.599998474121094,782400,,,,,,,,
2025-10-24,34.27000045776367,37.900001525878906,34.27000045776367,36.119998931884766,36.119998931884766,1375000,,,,,,,,
2025-10-27,36.5,37.7400016784668,35.31999969482422,36.814998626708984,36.814998626708984,839100,,,,,,,,
2025-10-28,37.0,40.72999954223633,36.630001068115234,39.599998474121094,39.599998474121094,1872700,,,,,,,,
2025-10-29,39.68000030517578,43.0,39.040000915527344,41.540000915527344,41.540000915527344,1090100,,,,,,,,
2025-10-30,40.79999923706055,41.9900016784668,38.5,39.849998474121094,39.849998474121094,1601100,,,,,,,,
2025-10-31,40.0,42.4900016784668,39.65800094604492,41.369998931884766,41.369998931884766,998900,,,,,,,,
2025-11-03,41.689998626708984,43.81999969482422,40.79999923706055,41.43000030517578,41.43000030517578,601700,,,,,,,,
2025-11-04,40.900001525878906,41.970001220703125,38.11000061035156,38.310001373291016,38.310001373291016,895800,,,,,,,,
2025-11-05,38.5,40.2400016784668,38.5,39.0,39.0,477500,,,,,,,,
2025-11-06,39.51499938964844,39.60499954223633,36.47999954223633,36.540000915527344,36.540000915527344,548200,,,,,,,,
2025-11-07,35.9900016784668,36.569000244140625,34.400001525878906,35.4900016784668,35.4900016784668,993400,,,,,,,,
2025-11-10,35.970001220703125,36.709999084472656,35.0,36.58000183105469,36.58000183105469,714100,,,,,,,,
2025-11-11,36.41999816894531,37.279998779296875,35.40999984741211,36.2400016784668,36.2400016784668,707000,,,,,,,,
2025-11-12,36.2599983215332,36.93000030517578,35.209999084472656,36.70000076293945,36.70000076293945,589500,,,,,,,,
2025-11-13,36.650001525878906,36.70000076293945,33.0099983215332,33.31999969482422,33.31999969482422,641300,,,,,,,,
2025-11-14,35.0,42.040000915527344,35.0,40.27000045776367,40.27000045776367,2814200,,,,,,,,
2025-11-17,40.939998626708984,43.74300003051758,39.665000915527344,40.119998931884766,40.119998931884766,1105500,,,,,,,,
2025-11-18,40.95000076293945,45.630001068115234,39.93000030517578,44.93000030517578,44.93000030517578,1440600,,,,,,,,
2025-11-19,45.04999923706055,45.75400161743164,42.41999816894531,44.43000030517578,44.43000030517578,912100,,,,,,,,
2025-11-20,45.33000183105469,47.06999969482422,40.310001373291016,40.959999084472656,40.959999084472656,1000800,,,,,,,,
2025-11-21,41.41999816894531,42.70000076293945,40.29600143432617,40.77000045776367,40.77000045776367,692800,,,,,,,,
2025-11-24,41.72999954223633,44.744998931884766,41.72999954223633,43.790000915527344,43.790000915527344,893800,,,,,,,,
2025-11-25,43.65999984741211,45.499000549316406,43.28499984741211,44.9900016784668,44.9900016784668,607600,,,,,,,,
2025-11-26,45.61000061035156,47.0,44.560001373291016,45.7599983215332,45.7599983215332,653800,,,,,,,,
2025-11-28,45.939998626708984,46.93000030517578,45.349998474121094,45.97999954223633,45.97999954223633,299700,,,,,,,,
2025-12-01,45.880001068115234,46.02000045776367,43.88999938964844,44.81999969482422,44.81999969482422,483700,,,,,,,,
2025-12-02,44.720001220703125,46.369998931884766,43.959999084472656,44.189998626708984,44.189998626708984,387500,,,,,,,,
2025-12-03,44.220001220703125,47.29999923706055,42.83000183105469,45.959999084472656,45.959999084472656,440400,,,,,,,,
2025-12-04,46.08000183105469,50.20000076293945,46.08000183105469,48.2400016784668,48.2400016784668,733600,,,,,,,,
2025-12-05,47.88999938964844,48.18000030517578,46.0,46.790000915527344,46.790000915527344,529300,,,,,,,,
2025-12-08,47.97999954223633,49.7400016784668,46.060001373291016,47.5,47.5,885100,,,,,,,,
2025-12-09,47.7400016784668,49.41999816894531,47.380001068115234,48.47999954223633,48.47999954223633,455600,,,,,,,,
2025-12-10,45.650001525878906,48.25,44.41999816894531,45.29999923706055,45.29999923706055,757600,,,,,,,,
2025-12-11,45.31999969482422,46.5,43.56999969482422,45.79999923706055,45.79999923706055,748500,,,,,,,,
2025-12-12,45.68000030517578,45.68000030517578,41.5,41.7400016784668,41.7400016784668,5205100,,,,,,,,
2025-12-15,42.540000915527344,42.95000076293945,40.40999984741211,40.84000015258789,40.84000015258789,1603200,,,,,,,,
2025-12-16,40.16999816894531,42.02000045776367,40.04999923706055,41.91999816894531,41.91999816894531,1607900,,,,,,,,
2025-12-17,41.97999954223633,43.0,40.90999984741211,41.349998474121094,41.349998474121094,2043200,,,,,,,,
2025-12-18,41.90999984741211,43.97999954223633,41.90999984741211,43.5,43.5,1319700,,,,,,,,
2025-12-19,43.15999984741211,44.66999816894531,43.15999984741211,44.150001525878906,44.150001525878906,8275400,,,,,,,,
2025-12-22,44.43000030517578,45.0,43.7400016784668,44.119998931884766,44.119998931884766,743800,,,,,,,,
2025-12-23,43.810001373291016,44.869998931884766,43.65999984741211,44.720001220703125,44.720001220703125,409400,,,,,,,,
2025-12-24,44.47999954223633,45.040000915527344,44.22999954223633,44.290000915527344,44.290000915527344,365400,,,,,,,,
2025-12-26,44.06999969482422,44.97999954223633,43.5359992980957,44.599998474121094,44.599998474121094,517000,,,,,,,,
2025-12-29,44.09000015258789,44.869998931884766,43.7130012512207,43.86000061035156,43.86000061035156,1037600,,,,,,,,
2025-12-30,44.0,44.029998779296875,42.939998626708984,43.5,43.5,898100,,,,,,,,
,LGN,LGN,LGN,LGN,LGN,LGN,,,,,,,,
