date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NGXXF')","('high', 'NGXXF')","('low', 'NGXXF')","('close', 'NGXXF')","('adj_close', 'NGXXF')","('volume', 'NGXXF')","('currency', '')"
2024-08-15,6.989999771118164,7.25,6.989999771118164,7.25,7.25,29900,,,,,,,,
2024-08-16,7.210000038146973,7.289999961853027,7.179999828338623,7.289999961853027,7.289999961853027,11400,,,,,,,,
2024-08-19,7.519999980926514,7.625999927520752,7.5,7.599999904632568,7.599999904632568,34100,,,,,,,,
2024-08-20,7.619999885559082,7.660999774932861,7.520999908447266,7.660999774932861,7.660999774932861,27000,,,,,,,,
2024-08-21,7.639999866485596,7.699999809265137,7.639999866485596,7.679999828338623,7.679999828338623,7700,,,,,,,,
2024-08-22,7.550000190734863,7.630000114440918,7.539999961853027,7.590000152587891,7.590000152587891,12900,,,,,,,,
2024-08-23,7.789999961853027,7.800000190734863,7.789999961853027,7.800000190734863,7.800000190734863,3100,,,,,,,,
2024-08-26,7.921999931335449,7.97599983215332,7.789999961853027,7.97599983215332,7.97599983215332,5500,,,,,,,,
2024-08-27,7.985000133514404,8.041999816894531,7.949999809265137,7.960000038146973,7.960000038146973,9200,,,,,,,,
2024-08-28,8.029999732971191,8.069999694824219,8.029999732971191,8.069999694824219,8.069999694824219,4400,,,,,,,,
2024-08-29,8.182999610900879,8.1899995803833,8.027000427246094,8.027000427246094,8.027000427246094,4000,,,,,,,,
2024-08-30,8.125,8.149999618530273,8.125,8.149999618530273,8.149999618530273,2500,,,,,,,,
2024-09-03,7.800000190734863,7.800000190734863,7.260000228881836,7.39300012588501,7.39300012588501,28500,,,,,,,,
2024-09-04,7.449999809265137,7.550000190734863,7.413000106811523,7.459000110626221,7.459000110626221,14000,,,,,,,,
2024-09-05,7.199999809265137,7.329999923706055,7.199999809265137,7.314000129699707,7.314000129699707,21100,,,,,,,,
2024-09-06,7.199999809265137,7.199999809265137,7.025000095367432,7.09499979019165,7.09499979019165,56100,,,,,,,,
2024-09-09,7.269999980926514,7.269999980926514,7.127999782562256,7.127999782562256,7.127999782562256,10700,,,,,,,,
2024-09-10,7.050000190734863,7.329999923706055,7.050000190734863,7.329999923706055,7.329999923706055,15900,,,,,,,,
2024-09-11,7.329999923706055,7.329999923706055,7.329999923706055,7.329999923706055,7.329999923706055,1000,,,,,,,,
2024-09-12,7.349999904632568,7.440000057220459,7.304999828338623,7.409999847412109,7.409999847412109,54400,,,,,,,,
2024-09-13,7.318999767303467,7.318999767303467,7.23799991607666,7.23799991607666,7.23799991607666,46700,,,,,,,,
2024-09-16,7.23799991607666,7.23799991607666,7.23799991607666,7.23799991607666,7.23799991607666,8400,,,,,,,,
2024-09-17,7.28000020980835,7.28000020980835,7.195000171661377,7.27400016784668,7.27400016784668,10000,,,,,,,,
2024-09-18,7.244999885559082,7.290999889373779,7.244999885559082,7.290999889373779,7.290999889373779,10700,,,,,,,,
2024-09-19,7.420000076293945,7.420000076293945,7.0,7.395999908447266,7.395999908447266,7900,,,,,,,,
2024-09-20,7.3420000076293945,7.400000095367432,7.3420000076293945,7.400000095367432,7.400000095367432,10900,,,,,,,,
2024-09-23,7.53000020980835,7.579999923706055,7.5,7.570000171661377,7.570000171661377,9900,,,,,,,,
