date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ESS')","('high', 'ESS')","('low', 'ESS')","('close', 'ESS')","('adj_close', 'ESS')","('volume', 'ESS')","('currency', '')"
2020-01-02,302.2300109863281,303.30999755859375,295.8599853515625,298.2799987792969,243.4301300048828,412400,,,,,,,,
2020-01-03,297.1600036621094,301.5899963378906,296.5,301.20001220703125,245.81304931640625,400700,,,,,,,,
2020-01-06,300.6199951171875,301.94000244140625,298.75,300.0,244.83380126953125,369200,,,,,,,,
2020-01-07,298.30999755859375,299.69000244140625,294.5400085449219,296.3299865722656,241.83865356445312,327200,,,,,,,,
2020-01-08,296.8299865722656,299.5899963378906,295.8900146484375,298.0400085449219,243.23426818847656,450500,,,,,,,,
2020-01-09,298.0799865722656,299.80999755859375,297.1499938964844,299.4599914550781,244.39306640625,505900,,,,,,,,
2020-01-10,300.2099914550781,303.2799987792969,299.20001220703125,302.3999938964844,246.79246520996094,736400,,,,,,,,
2020-01-13,302.0899963378906,306.0799865722656,302.0899963378906,305.5,249.32240295410156,420300,,,,,,,,
2020-01-14,304.3999938964844,305.0,300.19000244140625,301.82000732421875,246.31912231445312,335100,,,,,,,,
2020-01-15,302.5,305.3399963378906,301.2799987792969,302.8299865722656,247.14340209960938,428600,,,,,,,,
2020-01-16,303.6199951171875,306.25,302.510009765625,306.0299987792969,249.75491333007812,292100,,,,,,,,
2020-01-17,305.4599914550781,308.92999267578125,304.3299865722656,308.8699951171875,252.07273864746094,383700,,,,,,,,
2020-01-21,309.989990234375,312.6099853515625,308.95001220703125,311.5,254.21913146972656,410600,,,,,,,,
2020-01-22,312.8900146484375,314.3299865722656,307.3800048828125,309.8500061035156,252.8724822998047,429300,,,,,,,,
2020-01-23,309.42999267578125,313.5,307.4100036621094,312.510009765625,255.04339599609375,487300,,,,,,,,
2020-01-24,312.8999938964844,313.3500061035156,308.3900146484375,309.4700012207031,252.5623779296875,279800,,,,,,,,
