date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'REGN')","('high', 'REGN')","('low', 'REGN')","('close', 'REGN')","('adj_close', 'REGN')","('volume', 'REGN')","('currency', '')"
2020-01-02,378.0,379.0,369.239990234375,373.3500061035156,371.2908020019531,512400,,,,,,,,
2020-01-03,368.2099914550781,372.3500061035156,367.04998779296875,369.1600036621094,367.1239013671875,500800,,,,,,,,
2020-01-06,368.2300109863281,372.1400146484375,364.5,371.739990234375,369.6896057128906,690800,,,,,,,,
2020-01-07,371.55999755859375,373.8299865722656,368.0199890136719,373.1300048828125,371.0719909667969,736400,,,,,,,,
2020-01-08,373.17999267578125,384.8500061035156,370.7099914550781,382.4200134277344,380.3107604980469,743100,,,,,,,,
2020-01-09,383.6300048828125,386.5400085449219,381.3699951171875,383.4700012207031,381.3549499511719,587500,,,,,,,,
2020-01-10,384.6199951171875,386.1000061035156,380.0,381.4100036621094,379.30633544921875,568100,,,,,,,,
2020-01-13,380.010009765625,380.3399963378906,375.1300048828125,378.92999267578125,376.8399963378906,637200,,,,,,,,
2020-01-14,378.29998779296875,388.4200134277344,375.57000732421875,387.6199951171875,385.4820861816406,638900,,,,,,,,
2020-01-15,387.4200134277344,396.4700012207031,387.4200134277344,390.75,388.5948181152344,680700,,,,,,,,
2020-01-16,393.1700134277344,394.0,381.82000732421875,385.57000732421875,383.4433898925781,620500,,,,,,,,
2020-01-17,386.1000061035156,386.6000061035156,382.5299987792969,385.94000244140625,383.8113708496094,862800,,,,,,,,
2020-01-21,385.8999938964844,386.30999755859375,363.67999267578125,363.7099914550781,361.7039489746094,1488400,,,,,,,,
2020-01-22,365.7200012207031,367.1400146484375,356.4599914550781,359.1400146484375,357.1591491699219,1320300,,,,,,,,
2020-01-23,359.4200134277344,360.45001220703125,354.2099914550781,356.6000061035156,354.6331481933594,737600,,,,,,,,
2020-01-24,359.9100036621094,359.9100036621094,343.0899963378906,345.2799987792969,343.3756103515625,1103100,,,,,,,,
2020-01-27,341.20001220703125,343.32000732421875,336.1700134277344,339.4200134277344,337.5479736328125,775000,,,,,,,,
2020-01-28,341.6000061035156,345.7699890136719,337.29998779296875,344.0799865722656,342.18218994140625,729500,,,,,,,,
2020-01-29,346.25,347.9700012207031,338.8999938964844,339.25,337.37884521484375,558600,,,,,,,,
2020-01-30,335.67999267578125,337.57000732421875,331.57000732421875,336.17999267578125,334.3257751464844,664100,,,,,,,,
2020-01-31,333.1700134277344,338.9800109863281,328.1300048828125,337.94000244140625,336.0760803222656,988600,,,,,,,,
2020-02-03,339.69000244140625,347.0,339.3900146484375,341.1199951171875,339.238525390625,930100,,,,,,,,
2020-02-04,347.8999938964844,359.489990234375,347.6199951171875,356.0,354.03643798828125,956800,,,,,,,,
2020-02-05,364.8399963378906,376.67999267578125,363.0,372.1600036621094,370.10736083984375,1404400,,,,,,,,
2020-02-06,385.5299987792969,394.67999267578125,375.0299987792969,389.8500061035156,387.69976806640625,1605500,,,,,,,,
2020-02-07,391.07000732421875,391.3699951171875,378.510009765625,381.8699951171875,379.7637939453125,1172400,,,,,,,,
2020-02-10,378.1600036621094,389.8399963378906,377.44000244140625,386.2099914550781,384.079833984375,939500,,,,,,,,
2020-02-11,390.2099914550781,398.0,387.9800109863281,396.75,394.5617370605469,992800,,,,,,,,
