date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MTU.PA')","('high', 'MTU.PA')","('low', 'MTU.PA')","('close', 'MTU.PA')","('adj_close', 'MTU.PA')","('volume', 'MTU.PA')","('currency', '')"
2020-01-02,21.450000762939453,22.299999237060547,21.450000762939453,22.25,17.6236515045166,37695,,,,,,,,
2020-01-03,22.25,22.25,21.549999237060547,21.700000762939453,17.188013076782227,28300,,,,,,,,
2020-01-06,21.5,21.850000381469727,21.299999237060547,21.649999618530273,17.148408889770508,27665,,,,,,,,
2020-01-07,21.700000762939453,22.200000762939453,21.700000762939453,21.899999618530273,17.34642791748047,25614,,,,,,,,
2020-01-08,22.0,22.25,21.75,22.100000381469727,17.504840850830078,15152,,,,,,,,
2020-01-09,22.200000762939453,22.299999237060547,21.700000762939453,21.700000762939453,17.188013076782227,20478,,,,,,,,
2020-01-10,21.899999618530273,21.899999618530273,21.549999237060547,21.600000381469727,17.10880470275879,55863,,,,,,,,
2020-01-13,21.0,21.049999237060547,19.200000762939453,19.34000015258789,15.318717002868652,192837,,,,,,,,
2020-01-14,19.299999237060547,19.479999542236328,18.860000610351562,19.200000762939453,15.2078275680542,52935,,,,,,,,
2020-01-15,19.280000686645508,19.280000686645508,18.5,18.719999313354492,14.827630043029785,35006,,,,,,,,
2020-01-16,18.719999313354492,18.799999237060547,18.399999618530273,18.5,14.653375625610352,24790,,,,,,,,
2020-01-17,18.440000534057617,18.600000381469727,18.31999969482422,18.459999084472656,14.621692657470703,37913,,,,,,,,
2020-01-20,18.559999465942383,18.559999465942383,18.399999618530273,18.479999542236328,14.637534141540527,15295,,,,,,,,
2020-01-21,18.399999618530273,18.5,18.360000610351562,18.459999084472656,14.621692657470703,8116,,,,,,,,
2020-01-22,18.420000076293945,18.440000534057617,18.200000762939453,18.280000686645508,14.479118347167969,13248,,,,,,,,
2020-01-23,18.3799991607666,18.3799991607666,18.0,18.15999984741211,14.384069442749023,16427,,,,,,,,
2020-01-24,18.139999389648438,18.5,17.700000762939453,17.899999618530273,14.178131103515625,35371,,,,,,,,
2020-01-27,17.799999237060547,17.84000015258789,17.280000686645508,17.84000015258789,14.130605697631836,42647,,,,,,,,
2020-01-28,17.979999542236328,18.219999313354492,17.68000030517578,17.799999237060547,14.098921775817871,19812,,,,,,,,
2020-01-29,17.799999237060547,17.799999237060547,17.399999618530273,17.579999923706055,13.924665451049805,49211,,,,,,,,
2020-01-30,17.31999969482422,17.399999618530273,17.0,17.15999984741211,13.591994285583496,53321,,,,,,,,
2020-01-31,16.100000381469727,16.799999237060547,15.600000381469727,16.540000915527344,13.100910186767578,99895,,,,,,,,
2020-02-03,16.5,16.959999084472656,16.299999237060547,16.81999969482422,13.3226900100708,24733,,,,,,,,
2020-02-04,16.799999237060547,17.459999084472656,16.799999237060547,17.420000076293945,13.797932624816895,27682,,,,,,,,
2020-02-05,17.420000076293945,17.540000915527344,17.200000762939453,17.5,13.86130142211914,29687,,,,,,,,
2020-02-06,17.5,17.959999084472656,17.5,17.940000534057617,14.209813117980957,19139,,,,,,,,
2020-02-07,18.18000030517578,18.200000762939453,17.899999618530273,18.020000457763672,14.273178100585938,23324,,,,,,,,
2020-02-10,18.0,18.139999389648438,17.760000228881836,18.1200008392334,14.352387428283691,16794,,,,,,,,
2020-02-11,18.1200008392334,18.65999984741211,18.1200008392334,18.579999923706055,14.716740608215332,23710,,,,,,,,
2020-02-12,18.579999923706055,18.68000030517578,18.34000015258789,18.600000381469727,14.732583045959473,14532,,,,,,,,
2020-02-13,18.5,18.579999923706055,18.360000610351562,18.440000534057617,14.605850219726562,13071,,,,,,,,
2020-02-14,18.5,18.65999984741211,18.420000076293945,18.5,14.653375625610352,11680,,,,,,,,
2020-02-17,18.5,18.559999465942383,18.440000534057617,18.5,14.653375625610352,6718,,,,,,,,
2020-02-18,18.5,18.5,18.1200008392334,18.299999237060547,14.49495792388916,10249,,,,,,,,
2020-02-19,18.299999237060547,18.68000030517578,18.239999771118164,18.399999618530273,14.574167251586914,12462,,,,,,,,
2020-02-20,18.399999618530273,18.940000534057617,18.399999618530273,18.799999237060547,14.890995025634766,29204,,,,,,,,
2020-02-21,18.899999618530273,18.899999618530273,18.18000030517578,18.200000762939453,14.415753364562988,21888,,,,,,,,
2020-02-24,17.899999618530273,17.920000076293945,17.1200008392334,17.200000762939453,13.623677253723145,27420,,,,,,,,
2020-02-25,17.100000381469727,17.18000030517578,16.700000762939453,16.860000610351562,13.35437297821045,24078,,,,,,,,
