date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NRIM')","('high', 'NRIM')","('low', 'NRIM')","('close', 'NRIM')","('adj_close', 'NRIM')","('volume', 'NRIM')","('currency', '')"
2020-01-02,9.602499961853027,9.602499961853027,9.460000038146973,9.5,7.462587356567383,36400,,,,,,,,
2020-01-03,9.430000305175781,9.454999923706055,9.345000267028809,9.369999885559082,7.360467433929443,52000,,,,,,,,
2020-01-06,9.3149995803833,9.430000305175781,9.287500381469727,9.305000305175781,7.309410095214844,60400,,,,,,,,
2020-01-07,9.267499923706055,9.3149995803833,9.267499923706055,9.295000076293945,7.301552772521973,58400,,,,,,,,
2020-01-08,9.345000267028809,9.484999656677246,9.34000015258789,9.449999809265137,7.423310279846191,44000,,,,,,,,
2020-01-09,9.4375,9.545000076293945,9.4375,9.5,7.462587356567383,57200,,,,,,,,
2020-01-10,9.452500343322754,9.53499984741211,9.414999961853027,9.505000114440918,7.46651554107666,103600,,,,,,,,
2020-01-13,9.512499809265137,9.6850004196167,9.5,9.6850004196167,7.607913494110107,117200,,,,,,,,
2020-01-14,9.587499618530273,9.602499961853027,9.487500190734863,9.5024995803833,7.464550018310547,70400,,,,,,,,
2020-01-15,9.5,9.612500190734863,9.420000076293945,9.545000076293945,7.4979376792907715,62800,,,,,,,,
2020-01-16,9.572500228881836,9.774999618530273,9.505000114440918,9.704999923706055,7.623622417449951,34800,,,,,,,,
2020-01-17,9.765000343322754,9.765000343322754,9.515000343322754,9.550000190734863,7.501863956451416,52000,,,,,,,,
2020-01-21,9.5,9.555000305175781,9.422499656677246,9.452500343322754,7.4252753257751465,37200,,,,,,,,
2020-01-22,9.4375,9.4375,9.265000343322754,9.267499923706055,7.2799506187438965,40400,,,,,,,,
2020-01-23,9.2524995803833,9.420000076293945,9.135000228881836,9.420000076293945,7.399745464324951,72000,,,,,,,,
2020-01-24,9.327500343322754,9.3725004196167,9.25,9.25,7.266204357147217,38800,,,,,,,,
2020-01-27,9.25,9.547499656677246,9.25,9.422499656677246,7.401709079742432,72800,,,,,,,,
