date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NDSN')","('high', 'NDSN')","('low', 'NDSN')","('close', 'NDSN')","('adj_close', 'NDSN')","('volume', 'NDSN')","('currency', '')"
2020-01-02,163.22000122070312,165.22999572753906,162.22999572753906,165.22999572753906,154.89410400390625,251900,,,,,,,,
2020-01-03,162.8300018310547,164.3800048828125,162.52000427246094,164.05999755859375,153.79725646972656,163200,,,,,,,,
2020-01-06,163.82000732421875,163.89999389648438,162.44000244140625,163.60000610351562,153.3660888671875,160900,,,,,,,,
2020-01-07,162.8699951171875,164.1999969482422,162.22999572753906,163.00999450683594,152.81295776367188,201200,,,,,,,,
2020-01-08,163.0,163.39999389648438,161.67999267578125,162.17999267578125,152.03488159179688,197500,,,,,,,,
2020-01-09,162.74000549316406,164.6699981689453,162.1699981689453,164.6300048828125,154.33164978027344,180500,,,,,,,,
2020-01-10,164.72999572753906,164.85000610351562,163.42999267578125,163.61000061035156,153.37545776367188,314800,,,,,,,,
2020-01-13,163.5,165.38999938964844,163.24000549316406,165.3699951171875,155.02536010742188,128200,,,,,,,,
2020-01-14,165.3699951171875,165.83999633789062,163.75,165.08999633789062,154.76283264160156,331900,,,,,,,,
2020-01-15,165.42999267578125,166.30999755859375,164.2899932861328,165.99000549316406,155.60655212402344,178300,,,,,,,,
2020-01-16,166.88999938964844,168.6199951171875,166.88999938964844,168.3300018310547,157.80020141601562,193000,,,,,,,,
2020-01-17,168.5,170.14999389648438,168.5,169.5,158.89698791503906,197300,,,,,,,,
2020-01-21,168.9600067138672,170.3300018310547,167.97000122070312,168.7100067138672,158.15640258789062,290100,,,,,,,,
2020-01-22,169.50999450683594,171.66000366210938,169.50999450683594,170.33999633789062,159.68446350097656,563000,,,,,,,,
2020-01-23,170.0,172.5800018310547,168.64999389648438,172.2899932861328,161.51246643066406,338400,,,,,,,,
2020-01-24,172.3000030517578,173.39999389648438,170.36000061035156,170.97999572753906,160.28439331054688,266900,,,,,,,,
2020-01-27,173.07000732421875,173.9600067138672,168.85000610351562,173.00999450683594,162.18740844726562,297300,,,,,,,,
2020-01-28,173.02000427246094,176.75,173.02000427246094,175.3300018310547,164.3622589111328,297000,,,,,,,,
2020-01-29,175.47000122070312,176.85000610351562,173.92999267578125,173.97999572753906,163.0967559814453,212500,,,,,,,,
2020-01-30,173.17999267578125,174.08999633789062,170.5,172.55999755859375,161.76559448242188,309800,,,,,,,,
2020-01-31,171.8699951171875,171.8800048828125,168.19000244140625,168.86000061035156,158.29702758789062,416300,,,,,,,,
2020-02-03,169.85000610351562,172.52999877929688,169.58999633789062,171.6699981689453,160.9312286376953,172200,,,,,,,,
2020-02-04,174.42999267578125,178.49000549316406,174.42999267578125,178.02999877929688,166.89340209960938,203200,,,,,,,,
2020-02-05,180.27999877929688,180.27999877929688,178.2100067138672,178.75999450683594,167.57772827148438,204800,,,,,,,,
2020-02-06,178.7899932861328,178.7899932861328,175.9600067138672,177.61000061035156,166.4996795654297,192400,,,,,,,,
