date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PLDGP')","('high', 'PLDGP')","('low', 'PLDGP')","('close', 'PLDGP')","('adj_close', 'PLDGP')","('volume', 'PLDGP')","('currency', '')"
2020-01-02,75.0,75.0,75.0,75.0,49.520015716552734,300,,,,,,,,
2020-01-03,75.0,75.0,75.0,75.0,49.520015716552734,0,,,,,,,,
2020-01-06,75.0,75.0,75.0,75.0,49.520015716552734,0,,,,,,,,
2020-01-07,75.0,75.0,75.0,75.0,49.520015716552734,0,,,,,,,,
2020-01-08,75.0,75.0,75.0,75.0,49.520015716552734,0,,,,,,,,
2020-01-09,75.0,75.0,75.0,75.0,49.520015716552734,0,,,,,,,,
2020-01-10,75.0,75.0,75.0,75.0,49.520015716552734,0,,,,,,,,
2020-01-13,75.0,75.0,75.0,75.0,49.520015716552734,0,,,,,,,,
2020-01-14,72.0,72.0,71.4000015258789,71.4000015258789,47.14305877685547,400,,,,,,,,
2020-01-15,71.4000015258789,71.4000015258789,71.4000015258789,71.4000015258789,47.14305877685547,0,,,,,,,,
2020-01-16,71.4000015258789,71.4000015258789,71.4000015258789,71.4000015258789,47.14305877685547,300,,,,,,,,
2020-01-17,71.4000015258789,71.4000015258789,71.4000015258789,71.4000015258789,47.14305877685547,0,,,,,,,,
2020-01-21,71.4000015258789,71.4000015258789,71.4000015258789,71.4000015258789,47.14305877685547,0,,,,,,,,
2020-01-22,71.4000015258789,71.4000015258789,71.4000015258789,71.4000015258789,47.14305877685547,0,,,,,,,,
2020-01-23,70.80000305175781,70.80000305175781,70.80000305175781,70.80000305175781,46.74689865112305,400,,,,,,,,
2020-01-24,70.80000305175781,70.80000305175781,70.12000274658203,70.12000274658203,46.29792404174805,600,,,,,,,,
2020-01-27,70.12000274658203,70.12000274658203,70.12000274658203,70.12000274658203,46.29792404174805,0,,,,,,,,
2020-01-28,70.12000274658203,70.12000274658203,70.12000274658203,70.12000274658203,46.29792404174805,0,,,,,,,,
2020-01-29,70.01000213623047,70.01000213623047,70.01000213623047,70.01000213623047,46.22528839111328,300,,,,,,,,
2020-01-30,69.5,69.5,69.5,69.5,45.88855743408203,100,,,,,,,,
2020-01-31,71.19999694824219,73.0,71.19999694824219,73.0,48.19949722290039,400,,,,,,,,
2020-02-03,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-04,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-05,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-06,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-07,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-10,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-11,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-12,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-13,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-14,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-18,73.0,73.0,73.0,73.0,48.19949722290039,0,,,,,,,,
2020-02-19,77.0,77.0,73.0999984741211,73.0999984741211,48.26552200317383,600,,,,,,,,
2020-02-20,73.0999984741211,73.0999984741211,73.0999984741211,73.0999984741211,48.26552200317383,100,,,,,,,,
2020-02-21,73.0999984741211,73.0999984741211,73.0999984741211,73.0999984741211,48.26552200317383,0,,,,,,,,
2020-02-24,73.0999984741211,73.0999984741211,73.0999984741211,73.0999984741211,48.26552200317383,0,,,,,,,,
2020-02-25,73.0999984741211,73.0999984741211,73.0999984741211,73.0999984741211,48.26552200317383,0,,,,,,,,
2020-02-26,73.0999984741211,73.0999984741211,73.0999984741211,73.0999984741211,48.26552200317383,0,,,,,,,,
2020-02-27,71.5,71.5,71.0,71.0,46.878963470458984,800,,,,,,,,
2020-02-28,71.0,71.0,71.0,71.0,46.878963470458984,0,,,,,,,,
