date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RNKGF')","('high', 'RNKGF')","('low', 'RNKGF')","('close', 'RNKGF')","('adj_close', 'RNKGF')","('volume', 'RNKGF')","('currency', '')"
2024-07-23,27.0,27.0,27.0,27.0,26.877525329589844,3385,,,,,,,,
2024-07-24,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-07-25,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-07-26,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-07-29,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-07-30,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-07-31,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-01,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-02,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-05,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-06,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-07,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-08,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-09,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-12,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-13,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-14,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-15,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-16,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-19,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-20,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-21,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-22,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-23,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-26,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-27,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-28,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-29,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-08-30,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-03,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-04,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-05,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-06,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-09,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-10,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-11,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-12,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-13,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-16,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-17,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-18,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-19,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-20,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-23,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-24,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-25,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-26,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-27,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-09-30,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-01,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-02,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-03,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-04,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-07,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-08,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-09,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-10,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-11,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
2024-10-14,27.0,27.0,27.0,27.0,26.877525329589844,0,,,,,,,,
