date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EMR')","('high', 'EMR')","('low', 'EMR')","('close', 'EMR')","('adj_close', 'EMR')","('volume', 'EMR')","('currency', '')"
2020-01-02,76.56999969482422,77.5,76.27999877929688,77.4800033569336,67.76451110839844,2532300,,,,,,,,
2020-01-03,76.0,76.51000213623047,75.55999755859375,76.41999816894531,66.83740997314453,2672600,,,,,,,,
2020-01-06,75.87999725341797,77.08999633789062,75.75,77.05000305175781,67.38842010498047,3787200,,,,,,,,
2020-01-07,76.54000091552734,77.44999694824219,76.37000274658203,77.23999786376953,67.55459594726562,2497000,,,,,,,,
2020-01-08,77.11000061035156,77.7699966430664,76.83999633789062,77.51000213623047,67.79072570800781,2554300,,,,,,,,
2020-01-09,77.76000213623047,77.81999969482422,77.02999877929688,77.80000305175781,68.04436492919922,2309100,,,,,,,,
2020-01-10,77.94999694824219,77.9800033569336,76.83000183105469,76.94000244140625,67.29222106933594,2628900,,,,,,,,
2020-01-13,77.1500015258789,77.44000244140625,76.94999694824219,77.38999938964844,67.6857681274414,1964500,,,,,,,,
2020-01-14,77.2300033569336,77.55999755859375,76.77999877929688,76.87000274658203,67.23098754882812,2280200,,,,,,,,
2020-01-15,76.87000274658203,77.27999877929688,76.31999969482422,76.66000366210938,67.04732513427734,2368000,,,,,,,,
2020-01-16,77.08999633789062,77.88999938964844,77.01000213623047,77.87000274658203,68.10560607910156,2438800,,,,,,,,
2020-01-17,77.83999633789062,78.37999725341797,77.66000366210938,77.77999877929688,68.0268783569336,5008300,,,,,,,,
2020-01-21,77.43000030517578,77.63999938964844,76.68000030517578,77.25,67.56333923339844,3146300,,,,,,,,
2020-01-22,77.77999877929688,77.80000305175781,76.87000274658203,77.0199966430664,67.36217498779297,3024300,,,,,,,,
2020-01-23,76.61000061035156,77.70999908447266,76.02999877929688,77.58999633789062,67.86068725585938,1819600,,,,,,,,
2020-01-24,77.83000183105469,77.83000183105469,76.2300033569336,76.69999694824219,67.0822982788086,2037700,,,,,,,,
2020-01-27,75.04000091552734,75.2300033569336,73.7300033569336,73.73999786376953,64.49348449707031,3566000,,,,,,,,
2020-01-28,74.12000274658203,74.88999938964844,73.5999984741211,74.43000030517578,65.09696197509766,4289700,,,,,,,,
2020-01-29,74.9800033569336,75.0,73.87000274658203,73.91000366210938,64.64215087890625,3087500,,,,,,,,
2020-01-30,73.0,73.86000061035156,72.6500015258789,73.83000183105469,64.57218170166016,2659400,,,,,,,,
2020-01-31,73.30999755859375,73.69999694824219,71.19999694824219,71.62999725341797,62.648040771484375,4309900,,,,,,,,
2020-02-03,72.0999984741211,73.33999633789062,71.73999786376953,72.5999984741211,63.49641799926758,3933500,,,,,,,,
2020-02-04,74.54000091552734,74.76000213623047,72.97000122070312,73.23999786376953,64.05615997314453,3781100,,,,,,,,
2020-02-05,74.5999984741211,76.16000366210938,74.54000091552734,76.01000213623047,66.47882080078125,3944300,,,,,,,,
2020-02-06,76.62999725341797,76.62999725341797,74.91000366210938,75.25,65.81413269042969,2241700,,,,,,,,
2020-02-07,74.94000244140625,74.94000244140625,73.61000061035156,73.7699966430664,64.51972961425781,2283700,,,,,,,,
2020-02-10,73.45999908447266,73.76000213623047,72.7699966430664,73.38999938964844,64.18736267089844,2753100,,,,,,,,
2020-02-11,73.87000274658203,74.66999816894531,73.69999694824219,73.83000183105469,64.57218170166016,2729800,,,,,,,,
2020-02-12,74.55000305175781,75.58000183105469,74.30000305175781,75.4000015258789,65.9453125,3358000,,,,,,,,
2020-02-13,74.3499984741211,74.48999786376953,72.38999938964844,73.13999938964844,64.3957290649414,3549800,,,,,,,,
2020-02-14,73.05999755859375,73.51000213623047,72.61000061035156,73.51000213623047,64.72148895263672,2797100,,,,,,,,
2020-02-18,72.26000213623047,72.70999908447266,70.69999694824219,71.44000244140625,62.898983001708984,4292400,,,,,,,,
2020-02-19,71.87000274658203,72.58000183105469,71.58000183105469,71.86000061035156,63.26877975463867,2961400,,,,,,,,
2020-02-20,71.76000213623047,72.81999969482422,71.51000213623047,72.0199966430664,63.409610748291016,2338200,,,,,,,,
2020-02-21,71.47000122070312,72.0999984741211,71.0,72.08999633789062,63.47126007080078,2593400,,,,,,,,
2020-02-24,69.56999969482422,69.94999694824219,69.0,69.19000244140625,60.91797637939453,3592000,,,,,,,,
2020-02-25,69.37000274658203,69.69000244140625,66.31999969482422,66.5999984741211,58.63762664794922,4330300,,,,,,,,
2020-02-26,67.2699966430664,68.61000061035156,66.56999969482422,66.62999725341797,58.664039611816406,4798800,,,,,,,,
2020-02-27,65.05000305175781,67.70999908447266,64.37000274658203,64.37999725341797,56.683021545410156,4641700,,,,,,,,
2020-02-28,62.45000076293945,64.22000122070312,62.11000061035156,64.11000061035156,56.445308685302734,6472800,,,,,,,,
2020-03-02,64.54000091552734,66.52999877929688,63.52000045776367,66.30000305175781,58.373497009277344,4778500,,,,,,,,
2020-03-03,66.22000122070312,67.9000015258789,63.209999084472656,63.7400016784668,56.11955261230469,5142200,,,,,,,,
2020-03-04,64.72000122070312,66.94000244140625,64.41000366210938,66.66999816894531,58.69925308227539,4313400,,,,,,,,
2020-03-05,64.51000213623047,66.5,64.26000213623047,64.7300033569336,56.9911994934082,4692900,,,,,,,,
2020-03-06,62.81999969482422,64.05999755859375,61.220001220703125,62.13999938964844,54.71084213256836,7721400,,,,,,,,
2020-03-09,55.0,57.0,50.33000183105469,50.36000061035156,44.339202880859375,12610600,,,,,,,,
2020-03-10,52.52000045776367,53.869998931884766,49.77000045776367,53.86000061035156,47.42074966430664,10773500,,,,,,,,
2020-03-11,51.65999984741211,53.099998474121094,50.939998626708984,52.13999938964844,45.90638732910156,11699200,,,,,,,,
2020-03-12,47.540000915527344,51.86000061035156,45.119998931884766,46.18000030517578,40.658935546875,8994600,,,,,,,,
2020-03-13,48.79999923706055,50.33000183105469,45.29999923706055,50.33000183105469,44.312782287597656,12188100,,,,,,,,
2020-03-16,44.91999816894531,48.459999084472656,43.439998626708984,46.959999084472656,41.3456916809082,10564100,,,,,,,,
2020-03-17,47.65999984741211,48.0,45.15999984741211,47.41999816894531,41.75069808959961,8578000,,,,,,,,
2020-03-18,43.9900016784668,44.54999923706055,38.0,41.13999938964844,36.22151184082031,10350000,,,,,,,,
2020-03-19,40.52000045776367,47.970001220703125,39.29999923706055,46.02000045776367,40.51807403564453,7000900,,,,,,,,
2020-03-20,46.5,48.119998931884766,43.220001220703125,44.09000015258789,38.81880187988281,7373600,,,,,,,,
2020-03-23,42.84000015258789,43.0,37.75,38.08000183105469,33.52733612060547,7546200,,,,,,,,
2020-03-24,40.88999938964844,44.7400016784668,40.15999984741211,44.29999923706055,39.003692626953125,5697900,,,,,,,,
2020-03-25,44.75,49.939998626708984,44.20000076293945,47.61000061035156,41.91797637939453,6407000,,,,,,,,
2020-03-26,48.689998626708984,49.36000061035156,46.22999954223633,48.79999923706055,42.965702056884766,6629700,,,,,,,,
2020-03-27,46.18000030517578,47.040000915527344,45.099998474121094,45.58000183105469,40.130672454833984,5209500,,,,,,,,
2020-03-30,45.959999084472656,46.97999954223633,45.2599983215332,46.630001068115234,41.055137634277344,4569000,,,,,,,,
2020-03-31,46.310001373291016,48.130001068115234,46.209999084472656,47.650001525878906,41.95320129394531,4995700,,,,,,,,
2020-04-01,44.81999969482422,45.91999816894531,43.54999923706055,45.70000076293945,40.236324310302734,4608100,,,,,,,,
2020-04-02,45.540000915527344,48.63999938964844,45.45000076293945,47.72999954223633,42.02362823486328,5714100,,,,,,,,
2020-04-03,47.779998779296875,48.689998626708984,45.369998931884766,45.720001220703125,40.253929138183594,4738900,,,,,,,,
2020-04-06,48.459999084472656,49.79999923706055,47.83000183105469,49.38999938964844,43.48517608642578,3850100,,,,,,,,
2020-04-07,52.29999923706055,53.40999984741211,50.18000030517578,50.290000915527344,44.27757263183594,4636800,,,,,,,,
2020-04-08,50.63999938964844,52.88999938964844,50.63999938964844,52.099998474121094,45.87116622924805,3722600,,,,,,,,
2020-04-09,53.5099983215332,55.13999938964844,50.54999923706055,51.779998779296875,45.589439392089844,3978600,,,,,,,,
2020-04-13,51.45000076293945,51.599998474121094,50.02000045776367,51.189998626708984,45.069969177246094,3613000,,,,,,,,
2020-04-14,52.31999969482422,52.349998474121094,49.88999938964844,50.4900016784668,44.45366287231445,3872400,,,,,,,,
2020-04-15,48.7400016784668,49.150001525878906,46.58000183105469,47.90999984741211,42.18210220336914,4022100,,,,,,,,
2020-04-16,47.959999084472656,48.2599983215332,46.34000015258789,47.369998931884766,41.706668853759766,5423800,,,,,,,,
2020-04-17,48.97999954223633,50.709999084472656,48.97999954223633,50.540000915527344,44.4976806640625,5357600,,,,,,,,
2020-04-20,49.279998779296875,51.77000045776367,48.63999938964844,50.91999816894531,44.832252502441406,5376300,,,,,,,,
2020-04-21,50.0,51.459999084472656,49.119998931884766,50.77000045776367,44.7001838684082,7351700,,,,,,,,
2020-04-22,52.34000015258789,52.720001220703125,51.689998626708984,52.11000061035156,45.879974365234375,3726500,,,,,,,,
2020-04-23,52.599998474121094,54.189998626708984,52.599998474121094,52.90999984741211,46.58433532714844,4729000,,,,,,,,
2020-04-24,53.529998779296875,54.189998626708984,52.619998931884766,53.81999969482422,47.38554000854492,5052900,,,,,,,,
2020-04-27,53.9900016784668,56.47999954223633,53.9900016784668,56.029998779296875,49.33131408691406,2852100,,,,,,,,
2020-04-28,57.369998931884766,58.40999984741211,56.18000030517578,57.529998779296875,50.6519889831543,3973300,,,,,,,,
2020-04-29,59.0,59.65999984741211,58.380001068115234,59.06999969482422,52.007877349853516,2902000,,,,,,,,
