date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NDEKF')","('high', 'NDEKF')","('low', 'NDEKF')","('close', 'NDEKF')","('adj_close', 'NDEKF')","('volume', 'NDEKF')","('currency', '')"
2020-01-02,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-03,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-06,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-07,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-08,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-09,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-10,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-13,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-14,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-15,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-16,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-17,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-21,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-22,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-23,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-24,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-27,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-28,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
2020-01-29,11.411999702453613,11.411999702453613,11.411999702453613,11.411999702453613,9.77865219116211,0,,,,,,,,
