date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PAC')","('high', 'PAC')","('low', 'PAC')","('close', 'PAC')","('adj_close', 'PAC')","('volume', 'PAC')","('currency', '')"
2020-01-02,119.18000030517578,121.2699966430664,118.81999969482422,121.2699966430664,96.11880493164062,50500,,,,,,,,
2020-01-03,119.70999908447266,122.05999755859375,119.25,120.94999694824219,95.86517333984375,43900,,,,,,,,
2020-01-06,120.26000213623047,120.83999633789062,119.08000183105469,120.01000213623047,95.12013244628906,36700,,,,,,,,
2020-01-07,119.30000305175781,121.08999633789062,119.30000305175781,120.9000015258789,95.82555389404297,53800,,,,,,,,
2020-01-08,120.62999725341797,124.80000305175781,120.37999725341797,124.4800033569336,98.66307067871094,61000,,,,,,,,
2020-01-09,125.01000213623047,126.54000091552734,124.2699966430664,126.12000274658203,99.96293640136719,104300,,,,,,,,
2020-01-10,126.4800033569336,127.87000274658203,126.19000244140625,127.19000244140625,100.81102752685547,54100,,,,,,,,
2020-01-13,127.19000244140625,127.8499984741211,125.86000061035156,127.37999725341797,100.96160125732422,56700,,,,,,,,
2020-01-14,126.88999938964844,128.36000061035156,126.22000122070312,127.87000274658203,101.34998321533203,77200,,,,,,,,
2020-01-15,127.66000366210938,134.5,127.52999877929688,133.14999389648438,105.53492736816406,85000,,,,,,,,
2020-01-16,133.00999450683594,135.30999755859375,132.02999877929688,132.4499969482422,104.9801025390625,81000,,,,,,,,
2020-01-17,133.00999450683594,133.11000061035156,130.8800048828125,132.72000122070312,105.1941146850586,80700,,,,,,,,
2020-01-21,131.6999969482422,131.6999969482422,128.58999633789062,130.67999267578125,103.5771713256836,58200,,,,,,,,
2020-01-22,131.24000549316406,132.57000732421875,130.38999938964844,131.14999389648438,103.94971466064453,80500,,,,,,,,
2020-01-23,130.38999938964844,130.38999938964844,127.66999816894531,128.38999938964844,101.76213836669922,52100,,,,,,,,
2020-01-24,128.52000427246094,129.02000427246094,124.02999877929688,127.48999786376953,101.04879760742188,64700,,,,,,,,
2020-01-27,125.68000030517578,125.68000030517578,122.55999755859375,123.86000061035156,98.17164611816406,67000,,,,,,,,
2020-01-28,125.05000305175781,127.44000244140625,124.73999786376953,126.93000030517578,100.60493469238281,85900,,,,,,,,
2020-01-29,127.83000183105469,127.83000183105469,125.95999908447266,126.94000244140625,100.61286926269531,47300,,,,,,,,
2020-01-30,125.7300033569336,126.81999969482422,123.9800033569336,126.55999755859375,100.3116683959961,49100,,,,,,,,
2020-01-31,125.19000244140625,125.45999908447266,123.08000183105469,123.68000030517578,98.02897644042969,72700,,,,,,,,
2020-02-03,124.51000213623047,126.7699966430664,124.51000213623047,126.05999755859375,99.91537475585938,33100,,,,,,,,
2020-02-04,127.36000061035156,130.1199951171875,127.36000061035156,127.87000274658203,101.34998321533203,65300,,,,,,,,
