date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PDS')","('high', 'PDS')","('low', 'PDS')","('close', 'PDS')","('adj_close', 'PDS')","('volume', 'PDS')","('currency', '')"
2020-01-02,27.600000381469727,29.0,27.600000381469727,28.200000762939453,28.200000762939453,39285,,,,,,,,
2020-01-03,27.600000381469727,29.600000381469727,27.600000381469727,29.0,29.0,43540,,,,,,,,
2020-01-06,30.0,30.799999237060547,29.200000762939453,30.600000381469727,30.600000381469727,73555,,,,,,,,
2020-01-07,30.600000381469727,31.799999237060547,30.200000762939453,30.799999237060547,30.799999237060547,35080,,,,,,,,
2020-01-08,31.399999618530273,31.399999618530273,29.0,29.399999618530273,29.399999618530273,46410,,,,,,,,
2020-01-09,29.600000381469727,32.79999923706055,28.600000381469727,32.20000076293945,32.20000076293945,74870,,,,,,,,
2020-01-10,32.79999923706055,32.79999923706055,31.600000381469727,31.600000381469727,31.600000381469727,50570,,,,,,,,
2020-01-13,32.0,32.0,30.0,30.0,30.0,38570,,,,,,,,
2020-01-14,31.0,31.200000762939453,29.799999237060547,30.600000381469727,30.600000381469727,30250,,,,,,,,
2020-01-15,31.0,31.0,29.799999237060547,29.799999237060547,29.799999237060547,29210,,,,,,,,
2020-01-16,30.0,30.799999237060547,29.799999237060547,29.799999237060547,29.799999237060547,26450,,,,,,,,
2020-01-17,30.0,30.200000762939453,29.200000762939453,29.200000762939453,29.200000762939453,26615,,,,,,,,
2020-01-21,29.200000762939453,29.399999618530273,27.200000762939453,27.200000762939453,27.200000762939453,31545,,,,,,,,
2020-01-22,27.200000762939453,27.399999618530273,26.200000762939453,26.200000762939453,26.200000762939453,47145,,,,,,,,
2020-01-23,25.799999237060547,26.200000762939453,24.600000381469727,25.0,25.0,37190,,,,,,,,
2020-01-24,25.0,25.799999237060547,24.399999618530273,25.0,25.0,40200,,,,,,,,
2020-01-27,24.200000762939453,25.0,23.600000381469727,24.600000381469727,24.600000381469727,36310,,,,,,,,
2020-01-28,25.200000762939453,25.200000762939453,23.799999237060547,24.399999618530273,24.399999618530273,31760,,,,,,,,
2020-01-29,24.399999618530273,25.200000762939453,24.200000762939453,24.600000381469727,24.600000381469727,19670,,,,,,,,
2020-01-30,25.0,25.799999237060547,24.200000762939453,24.600000381469727,24.600000381469727,34200,,,,,,,,
2020-01-31,24.399999618530273,24.600000381469727,23.399999618530273,23.399999618530273,23.399999618530273,39055,,,,,,,,
2020-02-03,23.600000381469727,24.399999618530273,23.0,23.399999618530273,23.399999618530273,31285,,,,,,,,
2020-02-04,23.799999237060547,24.399999618530273,23.399999618530273,23.399999618530273,23.399999618530273,34905,,,,,,,,
2020-02-05,24.0,26.0,24.0,25.399999618530273,25.399999618530273,29765,,,,,,,,
2020-02-06,25.399999618530273,25.799999237060547,24.399999618530273,24.799999237060547,24.799999237060547,39265,,,,,,,,
2020-02-07,24.799999237060547,24.799999237060547,24.0,24.600000381469727,24.600000381469727,20740,,,,,,,,
2020-02-10,23.799999237060547,24.799999237060547,23.399999618530273,23.600000381469727,23.600000381469727,20220,,,,,,,,
2020-02-11,24.0,25.0,23.600000381469727,24.200000762939453,24.200000762939453,28560,,,,,,,,
2020-02-12,24.799999237060547,25.399999618530273,24.200000762939453,25.0,25.0,39990,,,,,,,,
2020-02-13,26.0,28.399999618530273,25.600000381469727,28.399999618530273,28.399999618530273,65795,,,,,,,,
2020-02-14,28.799999237060547,29.399999618530273,27.200000762939453,27.600000381469727,27.600000381469727,36600,,,,,,,,
2020-02-18,27.200000762939453,27.600000381469727,26.200000762939453,26.799999237060547,26.799999237060547,27100,,,,,,,,
2020-02-19,27.399999618530273,28.600000381469727,27.0,28.600000381469727,28.600000381469727,22850,,,,,,,,
2020-02-20,28.600000381469727,29.600000381469727,28.200000762939453,29.600000381469727,29.600000381469727,36235,,,,,,,,
2020-02-21,28.799999237060547,28.799999237060547,27.200000762939453,27.399999618530273,27.399999618530273,28410,,,,,,,,
2020-02-24,26.399999618530273,26.399999618530273,25.200000762939453,25.799999237060547,25.799999237060547,49380,,,,,,,,
2020-02-25,25.799999237060547,25.799999237060547,23.799999237060547,23.799999237060547,23.799999237060547,41260,,,,,,,,
