date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GPN')","('high', 'GPN')","('low', 'GPN')","('close', 'GPN')","('adj_close', 'GPN')","('volume', 'GPN')","('currency', '')"
2020-01-02,183.9499969482422,186.6699981689453,183.61000061035156,185.6699981689453,176.9940948486328,1816400,,,,,,,,
2020-01-03,183.14999389648438,185.80999755859375,182.27000427246094,184.39999389648438,175.78343200683594,1310900,,,,,,,,
2020-01-06,184.1300048828125,188.0,183.55999755859375,187.97000122070312,179.1865997314453,1533000,,,,,,,,
2020-01-07,188.24000549316406,189.60000610351562,187.1699981689453,187.3699951171875,178.61460876464844,1520500,,,,,,,,
2020-01-08,187.4199981689453,191.02000427246094,187.4199981689453,188.86000061035156,180.03501892089844,1325800,,,,,,,,
2020-01-09,190.4499969482422,191.97999572753906,190.32000732421875,191.3699951171875,182.427734375,1045200,,,,,,,,
2020-01-10,192.08999633789062,192.97999572753906,190.00999450683594,190.44000244140625,181.54119873046875,1336300,,,,,,,,
2020-01-13,191.5800018310547,193.52000427246094,191.08999633789062,193.3000030517578,184.2675323486328,1207400,,,,,,,,
2020-01-14,193.6999969482422,194.27000427246094,191.1999969482422,191.30999755859375,182.37054443359375,1418000,,,,,,,,
2020-01-15,192.17999267578125,195.13999938964844,191.89999389648438,194.3800048828125,185.2970733642578,1754400,,,,,,,,
2020-01-16,195.85000610351562,196.32000732421875,193.25999450683594,195.9499969482422,186.79371643066406,1490200,,,,,,,,
2020-01-17,196.49000549316406,199.33999633789062,195.99000549316406,198.6199951171875,189.3389129638672,1854600,,,,,,,,
2020-01-21,197.16000366210938,200.35000610351562,197.16000366210938,198.7899932861328,189.5010223388672,1631200,,,,,,,,
2020-01-22,200.02000427246094,201.5399932861328,199.25,200.05999755859375,190.71163940429688,1443300,,,,,,,,
2020-01-23,200.2899932861328,200.35000610351562,198.4600067138672,199.77999877929688,190.44476318359375,1269700,,,,,,,,
2020-01-24,200.74000549316406,202.5800018310547,198.41000366210938,198.77000427246094,189.48194885253906,1206000,,,,,,,,
2020-01-27,194.91000366210938,197.1300048828125,193.80999755859375,195.5,186.36473083496094,1299400,,,,,,,,
2020-01-28,196.00999450683594,198.9199981689453,195.6199951171875,198.02999877929688,188.77655029296875,1237300,,,,,,,,
2020-01-29,199.07000732421875,201.11000061035156,198.22000122070312,199.27000427246094,189.95858764648438,1081900,,,,,,,,
2020-01-30,197.91000366210938,200.27999877929688,197.13999938964844,200.0399932861328,190.692626953125,1013400,,,,,,,,
2020-01-31,198.85000610351562,200.00999450683594,194.77000427246094,195.4499969482422,186.3170928955078,2439400,,,,,,,,
2020-02-03,196.7899932861328,199.92999267578125,196.27999877929688,198.05999755859375,188.80514526367188,1427400,,,,,,,,
2020-02-04,201.0,203.82000732421875,200.74000549316406,202.94000244140625,193.4571075439453,1718400,,,,,,,,
2020-02-05,205.0800018310547,205.3699951171875,198.1999969482422,200.64999389648438,191.2740478515625,1833100,,,,,,,,
2020-02-06,201.02000427246094,202.64999389648438,200.7899932861328,201.6699981689453,192.2463836669922,1370000,,,,,,,,
2020-02-07,200.63999938964844,201.92999267578125,198.35000610351562,200.7899932861328,191.40753173828125,1161300,,,,,,,,
2020-02-10,200.25,204.66000366210938,200.25,204.63999938964844,195.07763671875,1505100,,,,,,,,
2020-02-11,205.16000366210938,206.17999267578125,202.3800048828125,203.17999267578125,193.68585205078125,2100500,,,,,,,,
2020-02-12,199.61000061035156,203.67999267578125,198.22999572753906,201.64999389648438,192.22735595703125,2535600,,,,,,,,
2020-02-13,200.7899932861328,204.4199981689453,199.25,202.72999572753906,193.2568817138672,1884200,,,,,,,,
2020-02-14,203.50999450683594,206.3699951171875,203.27000427246094,206.3699951171875,196.72682189941406,1801300,,,,,,,,
2020-02-18,206.0,208.32000732421875,205.4499969482422,207.07000732421875,197.3941192626953,2363000,,,,,,,,
