date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RLFTY')","('high', 'RLFTY')","('low', 'RLFTY')","('close', 'RLFTY')","('adj_close', 'RLFTY')","('volume', 'RLFTY')","('currency', '')"
2025-12-15,2.799999952316284,2.799999952316284,1.399999976158142,1.5,1.5,4550,,,,,,,,
2025-12-16,1.5,1.5,1.5,1.5,1.5,0,,,,,,,,
2025-12-17,2.7100000381469727,3.384999990463257,2.7100000381469727,3.384999990463257,3.384999990463257,1721,,,,,,,,
2025-12-18,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,551,,,,,,,,
2025-12-19,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,0,,,,,,,,
2025-12-22,2.7699999809265137,3.4200000762939453,2.7699999809265137,3.4200000762939453,3.4200000762939453,15125,,,,,,,,
2025-12-23,3.4200000762939453,3.4200000762939453,3.4200000762939453,3.4200000762939453,3.4200000762939453,0,,,,,,,,
2025-12-24,3.849900007247925,3.849900007247925,3.849900007247925,3.849900007247925,3.849900007247925,551,,,,,,,,
2025-12-26,3.849900007247925,3.849900007247925,3.849900007247925,3.849900007247925,3.849900007247925,0,,,,,,,,
2025-12-29,3.1698999404907227,3.180000066757202,3.1698999404907227,3.180000066757202,3.180000066757202,601,,,,,,,,
2025-12-30,3.180000066757202,3.180000066757202,3.180000066757202,3.180000066757202,3.180000066757202,0,,,,,,,,
,RLFTY,RLFTY,RLFTY,RLFTY,RLFTY,RLFTY,,,,,,,,
