date,open,high,low,close,adj_close,volume,currency
,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,
2020-01-02,107.56217956542969,109.85594940185547,106.24827575683594,109.85594940185547,106.33926391601562,3323004,BRL
2020-01-03,108.00757598876953,109.85594940185547,107.56217956542969,108.87609100341797,105.3907699584961,3001580,BRL
2020-01-06,107.78488159179688,109.81141662597656,106.44869995117188,108.96517181396484,105.47700500488281,3071361,BRL
2020-01-07,108.98743438720703,109.56644439697266,108.00757598876953,108.65339660644531,105.17520904541016,3010695,BRL
2020-01-08,108.27481079101562,112.12744903564453,108.00757598876953,111.99383544921875,108.4087142944336,4491234,BRL
2020-01-09,112.46149444580078,116.31414031982422,112.28334045410156,115.98009490966797,112.2673568725586,4952939,BRL
2020-01-10,116.00236511230469,118.14024353027344,113.68632507324219,115.3565444946289,111.66377258300781,4208022,BRL
2020-01-13,116.24732971191406,120.76805877685547,116.13597869873047,120.76805877685547,116.90206146240234,3851348,BRL
2020-01-14,120.255859375,122.59416961669922,119.36507415771484,120.255859375,116.40625,3724897,BRL
2020-01-15,119.54322814941406,121.05756378173828,118.47428894042969,119.49868774414062,115.67332458496094,4149782,BRL
2020-01-16,120.70124816894531,121.85926818847656,116.47002410888672,119.05329895019531,115.24219512939453,3762437,BRL
2020-01-17,119.81046295166016,121.21344757080078,118.25159454345703,121.03529357910156,117.16073608398438,2714911,BRL
2020-01-20,120.5230941772461,124.70977783203125,120.36720275878906,124.70977783203125,120.71759796142578,3325564,BRL
2020-01-21,124.08622741699219,126.35772705078125,123.84126281738281,124.50935363769531,120.5235824584961,3621214,BRL
2020-01-22,125.84552764892578,127.15943145751953,122.10423278808594,124.01941680908203,120.04933166503906,4048388,BRL
2020-01-23,123.99715423583984,126.31318664550781,122.3269271850586,126.00141143798828,121.9678726196289,3675368,BRL
2020-01-24,126.4245376586914,127.04808807373047,124.70977783203125,125.0438232421875,121.04094696044922,3376216,BRL
2020-01-27,122.59416961669922,123.15090942382812,119.6991195678711,119.81046295166016,115.9751205444336,3378506,BRL
2020-01-28,120.27812957763672,126.91446685791016,120.27812957763672,126.91446685791016,122.8517074584961,4650464,BRL
2020-01-29,128.07249450683594,129.36412048339844,126.15730285644531,127.58255767822266,123.4984130859375,4467749,BRL
