Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
TBPH,TBPH,Business description unavailable.,USD,18.91,18.91,2025-12-30,8.32,2025-04-08,31.1,22.46,2021-04-21,6.77,2021-09-15,69.9,535156,0.0337,2021-11-05,51.0,2025-06-02,55.0,8.41,2025-05-14,2025-06-02,True
MDB,MDB,Business description unavailable.,USD,421.23,421.23,2025-12-30,145.85,2025-04-08,31.0,585.03,2021-11-16,137.35,2022-11-09,76.5,1896086,0.0323,2022-11-15,6.0,2025-05-12,34.0,151.67,2025-04-21,2025-06-04,True
EXPE,EXPE,Business description unavailable.,USD,285.0,285.0,2025-12-30,135.82,2025-04-08,31.0,289.29,2025-12-22,285.0,2025-12-30,1.5,1990160,0.0308,,,2025-07-07,90.0,145.8,2025-04-21,2025-07-23,True
LLY,LLY,Business description unavailable.,USD,1079.75,1079.75,2025-12-30,623.36,2025-08-08,31.0,1109.94,2025-11-25,982.22,2025-12-09,11.5,3295410,0.0163,,,2025-10-01,54.0,623.36,2025-08-08,2025-10-01,True
DRUG,DRUG,Business description unavailable.,USD,75.85,75.85,2025-12-30,23.27,2025-06-27,30.9,93.99,2025-12-16,75.85,2025-12-30,19.3,160813,0.0476,,,2025-07-24,27.0,23.27,2025-06-27,2025-07-24,True
YETI,YETI,Business description unavailable.,USD,44.31,44.31,2025-12-30,26.94,2025-04-16,30.9,107.73,2021-11-05,26.94,2025-04-16,75.0,1944206,0.0233,2025-07-17,92.0,2025-07-17,92.0,26.94,2025-04-16,2025-07-17,True
LFST,LFST,Business description unavailable.,USD,7.13,7.13,2025-12-30,3.79,2025-08-01,30.8,28.95,2021-07-07,3.79,2025-08-01,86.9,2216736,0.0378,2025-08-13,12.0,2025-08-13,12.0,3.79,2025-08-01,2025-08-13,True
AEGXF,AEGXF,Business description unavailable.,USD,23.01,23.01,2025-12-30,11.02,2025-04-25,30.7,23.34,2025-12-23,23.01,2025-12-30,1.4,16060,0.0318,,,2025-06-20,56.0,11.02,2025-04-25,2025-06-20,True
ISRG,ISRG,Business description unavailable.,USD,572.63,572.63,2025-12-30,429.59,2025-10-10,30.7,610.45,2025-01-22,429.59,2025-10-10,29.6,1608933,0.0223,2025-11-07,28.0,2025-11-07,28.0,429.59,2025-10-10,2025-11-07,True
ORLA,ORLA,Business description unavailable.,USD,13.65,13.65,2025-12-30,5.43,2024-12-30,30.7,14.71,2025-12-23,13.65,2025-12-30,7.2,2928103,0.0484,,,2025-02-06,38.0,8.8,2025-05-14,2025-06-05,True
CX,CX,Business description unavailable.,USD,11.61,11.61,2025-12-30,5.0,2025-04-10,30.6,11.98,2025-12-26,,,,6572690,0.0195,,,2025-05-12,32.0,5.18,2025-04-16,2025-05-13,True
ASMB,ASMB,Business description unavailable.,USD,32.13,32.13,2025-12-30,8.26,2025-04-08,30.6,79.56,2021-02-09,7.8,2023-11-21,90.2,139953,0.0373,2024-01-08,48.0,2025-04-28,20.0,9.81,2025-04-15,2025-05-02,True
SANM,SANM,Business description unavailable.,USD,152.03,152.03,2025-12-30,67.3,2025-04-04,30.5,177.76,2025-11-05,142.87,2025-12-17,19.6,643156,0.0487,,,2025-06-03,60.0,73.06,2025-04-21,2025-06-25,True
EQX,EQX,Business description unavailable.,USD,14.2,14.2,2025-12-30,4.97,2024-12-30,30.4,14.9,2025-12-22,13.99,2025-12-29,6.1,8605353,0.034,,,2025-02-03,35.0,5.68,2025-06-27,2025-08-14,True
VTTGF,VTTGF,Business description unavailable.,USD,463.75,463.75,2025-12-30,300.1,2025-04-08,30.4,560.75,2024-07-10,300.1,2025-04-08,46.5,3,0.0238,2025-11-10,216.0,2025-11-10,216.0,300.1,2025-04-14,2025-11-10,True
SKE,SKE,Business description unavailable.,USD,23.96,23.96,2025-12-30,8.61,2025-04-08,30.4,25.42,2025-12-26,,,,806640,0.041,,,2025-04-11,3.0,11.14,2025-05-14,2025-06-05,True
CMRE,CMRE,Business description unavailable.,USD,15.8,15.8,2025-12-30,6.97,2025-05-07,30.4,16.51,2024-06-25,6.97,2025-05-07,57.8,471810,0.018,2025-06-06,30.0,2025-06-06,30.0,6.97,2025-05-07,2025-06-06,True
COKE,COKE,Business description unavailable.,USD,154.66,154.66,2025-12-30,105.28,2025-06-17,30.3,168.08,2025-12-05,154.62,2025-12-29,8.0,540440,0.0162,,,2025-11-07,143.0,105.28,2025-06-17,2025-11-07,True
MAMA,MAMA,Business description unavailable.,USD,13.66,13.66,2025-12-30,5.66,2025-03-06,30.3,14.32,2025-12-09,13.09,2025-12-10,8.6,505350,0.0376,,,2025-05-27,82.0,6.2,2025-04-21,2025-05-28,True
LNTH,LNTH,Business description unavailable.,USD,67.16,67.16,2025-12-30,50.11,2025-09-22,30.1,123.62,2024-07-11,50.11,2025-09-22,59.5,1090906,0.0233,2025-12-12,81.0,2025-12-12,81.0,50.11,2025-09-22,2025-12-12,True
URGN,URGN,Business description unavailable.,USD,23.17,23.17,2025-12-30,3.93,2025-05-27,30.1,29.42,2025-11-26,21.72,2025-12-18,26.2,919816,0.0464,,,2025-06-05,9.0,3.93,2025-05-27,2025-06-05,True
KALV,KALV,Business description unavailable.,USD,15.68,15.68,2025-12-30,7.4,2025-01-14,30.1,42.57,2021-02-12,4.2,2022-10-19,90.1,1346540,0.0413,2022-11-10,22.0,2025-02-04,21.0,10.76,2025-11-04,2025-11-17,True
