Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
ENGI.PA,ENGIE,Business description unavailable.,EUR,22.41,,2025-12-31,14.19,2025-01-27,20.5,22.41,2025-12-30,,,,3755225,0.0088,,,2025-05-20,113.0,17.19,2025-04-17,2025-12-30,True
RO.SW,RO.SW,Business description unavailable.,CHF,335.2,,2025-12-30,247.2,2025-04-09,23.1,390.44,2022-04-08,222.67,2024-02-09,43.0,30840,0.0175,2024-07-17,159.0,2025-11-19,224.0,257.6,2025-04-11,2025-12-23,True
AUB.PA,AUBAY,Business description unavailable.,EUR,57.1,,2025-12-31,41.0,2025-04-09,17.5,57.1,2025-12-31,,,,7640,0.016,,,2025-12-11,246.0,42.23,2025-09-05,2025-12-15,True
ALO.PA,ALSTOM,Business description unavailable.,EUR,25.17,,2025-12-31,17.18,2025-04-07,11.7,46.38,2021-04-28,10.69,2023-12-13,76.9,997545,0.0166,2024-03-28,106.0,2025-05-12,35.0,18.28,2025-06-19,2025-12-09,True
ROG.SW,ROG.SW,Business description unavailable.,CHF,328.2,,2025-12-30,235.4,2025-04-09,26.3,358.95,2022-04-11,207.25,2024-05-02,42.3,1227547,0.0178,2024-07-18,77.0,2025-11-18,223.0,243.0,2025-04-10,2025-12-08,True
STLAP.PA,STLAP.PA,Business description unavailable.,EUR,9.31,,2025-12-31,7.04,2025-04-11,5.7,23.34,2024-03-25,7.04,2025-04-11,69.8,2720892,0.0276,2025-05-12,31.0,2025-05-12,31.0,7.46,2025-09-10,2025-12-03,True
AZN.ST,AstraZeneca PLC,Business description unavailable.,SEK,1703.5,,2025-12-30,1234.83,2025-04-09,20.0,1784.65,2024-08-29,1234.83,2025-04-09,30.8,277519,0.0151,2025-10-06,180.0,2025-10-06,180.0,1278.31,2025-04-10,2025-11-11,True
SU.PA,SU.PA,Business description unavailable.,EUR,235.0,,2025-12-31,183.27,2025-04-07,-6.2,266.91,2025-01-23,183.27,2025-04-07,31.3,785113,0.0151,2025-07-17,101.0,2025-07-17,101.0,196.08,2025-04-22,2025-10-27,False
EL.PA,ESSILORLUXOTTICA,Business description unavailable.,EUR,269.7,,2025-12-31,229.23,2025-04-07,-3.7,320.7,2025-11-12,269.7,2025-12-31,15.9,456392,0.0197,,,2025-10-17,193.0,231.1,2025-06-26,2025-10-17,True
UHR.SW,UHR.SW,Business description unavailable.,CHF,168.25,,2025-12-30,122.58,2025-04-09,12.6,313.9,2023-03-06,122.58,2025-04-09,60.9,111562,0.0188,2025-10-15,189.0,2025-10-15,189.0,127.19,2025-04-10,2025-10-15,True
AYV.PA,AYVENS,Business description unavailable.,EUR,11.44,,2025-12-31,5.75,2025-01-10,15.2,11.5,2025-12-30,,,,755988,0.0182,,,2025-02-24,45.0,7.8,2025-04-17,2025-10-10,True
MTG-B.ST,MTG-B.ST,Business description unavailable.,SEK,114.7,,2025-12-30,94.3,2024-12-23,4.1,144.3,2021-02-17,60.15,2023-06-20,58.3,200845,0.0183,2023-09-04,76.0,2025-02-13,52.0,94.45,2025-09-02,2025-10-09,False
MC.PA,MC.PA,Business description unavailable.,EUR,641.5,,2025-12-31,433.81,2025-06-26,19.2,851.03,2023-04-24,433.81,2025-06-26,49.0,322468,0.0195,2025-10-08,104.0,2025-10-08,104.0,433.81,2025-06-26,2025-10-08,True
CDI.PA,CHRISTIAN DIOR,Business description unavailable.,EUR,595.0,,2025-12-31,412.6,2025-06-26,16.6,813.28,2023-04-14,412.6,2025-06-26,49.3,2627,0.0197,2025-10-08,104.0,2025-10-08,104.0,412.6,2025-06-26,2025-10-08,True
SCR.PA,SCR.PA,Business description unavailable.,EUR,28.68,,2025-12-31,20.38,2025-04-07,-4.3,31.6,2025-10-08,25.6,2025-11-04,19.0,401205,0.0207,,,2025-05-05,28.0,23.52,2025-04-17,2025-10-07,False
VLTSA.PA,VLTSA.PA,Business description unavailable.,EUR,7.79,,2025-12-31,5.95,2025-09-04,1.3,24.74,2021-02-03,5.95,2025-09-04,75.9,75330,0.0202,2025-10-01,27.0,2025-10-01,27.0,5.95,2025-09-04,2025-10-01,True
NXI.PA,NXI.PA,Business description unavailable.,EUR,8.95,,2025-12-31,8.22,2025-09-02,-17.1,36.53,2021-05-10,8.22,2025-09-02,77.5,111210,0.021,2025-09-19,17.0,2025-09-19,17.0,8.22,2025-09-02,2025-09-19,False
ZBH.SW,ZBH.SW,Business description unavailable.,CHF,81.5,,2025-12-30,71.55,2025-07-22,13.5,153.49,2021-06-28,71.55,2025-07-22,53.4,0,0.0123,2025-08-18,27.0,2025-08-18,27.0,71.55,2025-07-22,2025-08-18,False
AXFO.ST,Axfood AB,Business description unavailable.,SEK,290.2,,2025-12-30,216.29,2025-03-24,-0.7,306.6,2025-08-21,259.0,2025-10-31,15.5,253934,0.0124,,,2025-07-03,101.0,229.41,2025-04-10,2025-08-15,False
ATO.PA,ATOS,Business description unavailable.,EUR,50.27,,2025-12-31,20.0,2025-01-09,-17.7,10130.0,2024-11-27,16.0,2024-12-17,99.8,95327,0.0339,2024-12-18,1.0,2025-02-14,36.0,26.86,2025-07-23,2025-08-08,True
URW.PA,URW.PA,Business description unavailable.,EUR,92.76,,2025-12-31,60.12,2025-04-09,4.3,93.38,2025-12-30,,,,362481,0.008,,,2025-05-19,40.0,68.13,2025-04-17,2025-08-07,True
CAF.PA,CRCAM PARIS ET IDF,Business description unavailable.,EUR,127.0,,2025-12-31,60.24,2025-04-09,23.0,127.0,2025-12-31,,,,1919,0.0186,,,2025-07-31,113.0,60.85,2025-04-22,2025-07-31,True
CRAV.PA,CRCAM ATL.VEND.CCI,Business description unavailable.,EUR,143.06,,2025-12-31,80.1,2025-01-14,-5.6,154.88,2025-09-01,119.0,2025-12-08,23.2,611,0.0232,,,2025-05-23,129.0,89.66,2025-04-25,2025-07-25,True
ADEN.SW,ADECCO N,Business description unavailable.,CHF,23.12,,2025-12-30,19.58,2025-01-10,3.7,50.0,2021-04-19,19.58,2025-01-10,60.8,770985,0.0258,2025-03-06,55.0,2025-03-06,55.0,20.35,2025-04-11,2025-07-25,False
ERF.PA,EUROFINS SCIENT.,Business description unavailable.,EUR,62.4,,2025-12-31,45.49,2025-04-07,-0.7,119.89,2021-09-21,43.24,2024-06-24,63.9,262470,0.0115,2024-09-27,95.0,2025-06-11,65.0,48.8,2025-04-22,2025-07-24,False
AC.PA,ACCOR,Business description unavailable.,EUR,48.22,,2025-12-31,35.15,2025-04-07,18.1,49.73,2025-07-25,40.26,2025-09-25,19.0,636962,0.0138,,,2025-05-13,36.0,37.9,2025-04-17,2025-07-23,False
KER.PA,KERING,Business description unavailable.,EUR,301.65,,2025-12-31,153.52,2025-04-09,5.1,703.42,2021-08-12,153.52,2025-04-09,78.2,226581,0.0233,2025-07-02,84.0,2025-07-02,84.0,160.92,2025-04-17,2025-07-23,True
ABBN.SW,ABB LTD N,Business description unavailable.,CHF,59.22,,2025-12-30,39.14,2025-04-09,3.3,59.96,2025-10-30,54.1,2025-11-18,9.8,2393086,0.012,,,2025-07-17,99.0,40.27,2025-04-11,2025-07-21,True
LR.PA,LEGRAND,Business description unavailable.,EUR,127.0,,2025-12-31,86.21,2025-04-07,-10.6,150.2,2025-11-03,123.6,2025-12-12,17.7,589830,0.0207,,,2025-06-27,81.0,90.26,2025-04-22,2025-07-17,True
SHOT.ST,SHOT.ST,Business description unavailable.,SEK,97.3,,2025-12-30,63.09,2025-04-09,11.0,98.05,2025-11-12,84.4,2025-11-19,13.9,720998,0.0218,,,2025-07-09,91.0,64.88,2025-04-10,2025-07-15,True
NOTE.ST,NOTE.ST,Business description unavailable.,SEK,181.8,,2025-12-30,139.96,2025-01-14,1.5,241.77,2023-05-30,106.7,2024-09-24,55.9,29470,0.0227,2024-12-13,80.0,2025-07-14,181.0,150.2,2025-06-02,2025-07-14,False
MTU.PA,MTU.PA,Business description unavailable.,EUR,19.24,,2025-12-31,15.14,2025-04-04,3.6,27.39,2022-01-31,13.92,2022-09-05,49.2,10573,0.0138,2022-11-14,70.0,2025-05-09,35.0,16.85,2025-04-17,2025-07-10,False
UBSG.SW,UBSG.SW,Business description unavailable.,CHF,36.96,,2025-12-30,21.09,2025-04-09,13.7,36.96,2025-12-30,,,,6239222,0.0136,,,2025-05-13,34.0,21.93,2025-04-11,2025-07-10,True
GLE.PA,SOCIETE GENERALE,Business description unavailable.,EUR,68.72,,2025-12-31,26.13,2025-01-07,22.5,69.4,2025-12-30,,,,2080850,0.018,,,2025-02-07,31.0,38.18,2025-04-17,2025-07-09,True
FR.PA,VALEO,Business description unavailable.,EUR,11.64,,2025-12-31,6.49,2025-04-09,10.8,29.06,2021-02-04,6.49,2025-04-09,77.7,899798,0.0276,2025-04-25,16.0,2025-04-25,16.0,7.66,2025-04-17,2025-07-09,True
BARN.SW,BARRY CALLEBAUT N,Business description unavailable.,CHF,1306.0,,2025-12-30,726.0,2025-05-07,19.8,2206.63,2021-08-18,726.0,2025-05-07,67.1,11767,0.0223,2025-07-09,63.0,2025-07-09,63.0,726.0,2025-05-07,2025-07-09,True
LOGN.SW,LOGITECH N,Business description unavailable.,CHF,81.54,,2025-12-30,55.14,2025-04-09,-6.0,115.2,2021-06-09,41.18,2022-10-12,64.3,620343,0.0205,2022-11-10,29.0,2025-05-13,34.0,56.13,2025-04-11,2025-07-08,True
AZA.ST,Avanza Bank Holding AB,Business description unavailable.,SEK,353.1,,2025-12-30,257.48,2024-12-23,1.1,378.4,2025-10-23,341.2,2025-12-03,9.8,236126,0.015,,,2025-05-07,135.0,274.43,2025-04-10,2025-07-07,True
SAF.PA,SAF.PA,Business description unavailable.,EUR,297.4,,2025-12-31,198.26,2025-04-09,-2.0,310.3,2025-11-03,282.5,2025-11-24,9.0,438484,0.0126,,,2025-05-20,41.0,209.83,2025-04-17,2025-06-30,True
NEX.PA,NEX.PA,Business description unavailable.,EUR,125.8,,2025-12-31,78.1,2025-04-09,-4.3,141.0,2025-08-19,114.7,2025-10-13,18.7,121146,0.0238,,,2025-05-26,47.0,83.02,2025-04-22,2025-06-27,True
AIR.PA,AIRBUS SE,Business description unavailable.,EUR,198.4,,2025-12-31,130.55,2025-04-09,-1.8,214.15,2025-11-03,190.4,2025-12-17,11.1,992168,0.0135,,,2025-06-04,56.0,133.06,2025-04-22,2025-06-26,True
CLAS-B.ST,Clas Ohlson AB ser. B,Business description unavailable.,SEK,303.4,,2025-12-30,199.75,2025-01-07,-17.9,391.2,2025-09-17,285.6,2025-12-12,27.0,150427,0.0265,,,2025-04-15,98.0,249.94,2025-04-11,2025-06-12,True
CAMX.ST,Camurus AB,Business description unavailable.,SEK,616.0,,2025-12-30,505.0,2025-05-28,-9.5,733.5,2025-09-09,545.0,2025-11-07,25.7,124196,0.0247,,,2025-06-09,12.0,505.0,2025-05-28,2025-06-09,False
FII.PA,FII.PA,Business description unavailable.,EUR,53.1,,2025-12-31,22.48,2025-01-07,10.2,53.1,2025-12-31,,,,37593,0.0221,,,2025-03-17,69.0,26.02,2025-04-25,2025-06-05,True
STMPA.PA,STMPA.PA,Business description unavailable.,EUR,22.31,,2025-12-31,16.49,2025-04-09,-8.9,49.0,2023-07-27,16.49,2025-04-09,66.3,2195616,0.026,2025-05-12,33.0,2025-05-12,33.0,17.73,2025-04-17,2025-06-04,False
SECT-B.ST,SECT-B.ST,Business description unavailable.,SEK,251.0,,2025-12-30,218.89,2025-03-11,-19.6,369.61,2025-07-30,250.0,2025-12-29,32.4,129402,0.0117,,,2025-04-29,49.0,247.0,2025-04-10,2025-06-02,False
AF.PA,AIR FRANCE -KLM,Business description unavailable.,EUR,11.59,,2025-12-31,7.05,2025-01-13,1.0,28.38,2021-03-01,7.05,2025-01-13,75.2,1604327,0.0326,2025-03-06,52.0,2025-03-06,52.0,7.4,2025-04-22,2025-05-30,True
ACLN.SW,ACCELLERON N,Business description unavailable.,CHF,61.55,,2025-12-30,35.01,2025-04-07,-8.1,76.2,2025-08-12,61.3,2025-10-17,19.6,153137,0.0156,,,2025-05-12,35.0,37.29,2025-04-10,2025-05-26,True
